"Name","Address","Industry","Type","Est. of Ownership","National ID","SIC Code"
"LIETUVOS SVEIKATOS MOKSLU UNIVERSITETO KAUNO LIGONINE","Josvainiu g. 2, KAUNAS, LT-47144, LITHUANIA","Services","Government Body","2011","302583800 Įmonės kodas","General hospital (8062)"
"NORFOS MAZMENA UAB","Savanoriu pr. 176, VILNIUS, LT-03154, LITHUANIA","Retail Trade","Corporation","1997","110778328 Įmonės kodas","Ret groceries (5411)"
"RIMI LIETUVA UAB","Spaudos g. 6-1, VILNIUS, LT-05132, LITHUANIA","Retail Trade","Corporation","1996","123715317 Įmonės kodas","Ret groceries (5411)"
"TIRASPOLTRANSGAZ-PRIDNESTROVE, OOO","49 ul. Sverdlova, Tiraspol, MD3300, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1967","0200041035 IDNO","Gas transmission/distribution (4923)"
"Moldavsky Metallurgicheski Zavod, OAO","1 Industriala str., Ribnita, MD-5501, MOLDOVA","Manufacturing","Corporation","1985","0400001540 IDNO","Blast furnace-steel works (3312)"
"ELECTROMASH JOINT STOCK COMPANY","MOLDOVA","Manufacturing","Corporation","1959","2225","Mfg motors/generators (3621)"
"MRP-EURASIA, SOCIETATEA CU RASPUNDERE LIMITATA","ap.(of.) 9, 10 str. Columna, mun. Chisinau, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2012","1012600034539 IDNO","Travel agency (4724)"
"INTREPRINDEREA DE APROVIZIONARE SI LIVRARE A GAZELOR DIN STRASENI, SOCIETATEA CU RASPUNDER","1 str. Chisinaului, Straseni, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1999","1003601005684 IDNO","Gas transmission/distribution (4923)"
"INTREPRINDEREA CU CAPITAL STRAIN PREMIER ENERGY, SOCIETATE CU RASPUNDERE LIMITATA","4 str. Doga Andrei, mun. Chisinau, MD-2024, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2015","1014600043319 IDNO","Electric services (4911)"
"INTREPRINDEREA MIXTA ROMPETROL MOLDOVA, SA","73/1 str. Stefan cel Mare si Sfant bd., mun. Chisinau, MOLDOVA","Construction","Corporation","2002","40012177 CUIIO","Single-family house construction (1521)"
"TIRASPOL ELECTRICAL APPLIANCES PLANT","MOLDOVA","Manufacturing","Corporation","1958","3134","Mfg electronic components (3679)"
"COMBINATUR DE PRODUSE CEREALIERE DIN CHISINAU","2 Uzinelor Street, Chisinau, M D 2023, MOLDOVA","Manufacturing","Corporation","1951","233407 IDNO","Mfg bread/related products (2051)"
"INTREPRINDEREA MIXTA ZERNOFF, SRL","ap.(of.) 1F, 13/1 str. Mircea cel Batran bd., mun. Chisinau, MOLDOVA","Agriculture, Forestry, and Fishing","Corporation","2001","1003600014223 IDNO","General crop farm (0191)"
"CALEA FERATA DIN MOLDOVA, INTREPRINDEREA DE STAT","48 str. Vlaicu Pircalab, mun. Chisinau, MOLDOVA","Construction","Corporation","1993","1002600001257 IDNO","Highway/street construction (1611)"
"TIROTEX SATI","Zona Industriala Octombrie, Tiraspol, MD-3353, MOLDOVA","Manufacturing","Corporation","1972","40313128 CUIIO","Cotton broad woven fabric mill (2211)"
"I.M. MOLDOVA STEEL WORKS S.A.","1 str. Industriala, Rybnitsa, MD 5501, MOLDOVA","Manufacturing","Corporation","1985","1003615000781","Mfg misc structural metalwork (3449)"
"General Inspectorate of Border Police of the MIA of the Republic of Moldova","19 Petricani str., Chisinau, MD 2059, MOLDOVA","Public Sector","Unknown Type","2006","1006601000196 IDNO","Police protection (9221)"
"TIROTEX, INTREPRINDEREA DE STAT","Tiraspol, MOLDOVA","Manufacturing","Corporation","1973","40313128 CUIIO","Cotton broad woven fabric mill (2211)"
"ELECTROMASH JOINT STOCK COMPANY","MOLDOVA","Manufacturing","Corporation","1959","2225","Mfg motors/generators (3621)"
"MOLDTELECOM, SATD","10 Stefan cel Mare si Sfant bd., Chisinau, MD-2001, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1999","1002600048836 IDNO","Telephone communications (4813)"
"COMBINATUR DE PRODUSE CEREALIERE DIN CHISINAU","2 Uzinelor Street, Chisinau, M D 2023, MOLDOVA","Manufacturing","Corporation","1951","233407 IDNO","Mfg bread/related products (2051)"
"MRP-EURASIA, SOCIETATEA CU RASPUNDERE LIMITATA","ap.(of.) 9, 10 str. Columna, mun. Chisinau, MOLDOVA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2012","1012600034539 IDNO","Travel agency (4724)"
"BC MOLDOVA-AGROINDBANK, SA","9/1 str. Tanase Constantin, mun. Chisinau, MD2005, MOLDOVA","Finance, Insurance, and Real Estate","Corporation","1991","43044 CUIIO","Commercial bank (6029)"
"NK ROSNEFT, PAO","d. 26/1 naberezhnaya Sofiskaya, MOSCOW, 115035, RUSSIAN FEDERATION","Mining","Corporation","1995","00044428 OKPO","Crude petroleum/natural gas production (1311)"
"GAZPROM, PAO","d. 2 k. 3 str. 1, prospekt Lakhtinski, St. Petersburg, 197229, RUSSIAN FEDERATION","Wholesale Trade","Corporation","1993","00040778 OKPO","Whol petroleum products (5172)"
"SBERBANK, PAO","d. 19 ul. Vavilova, MOSCOW, 117997, RUSSIAN FEDERATION","Finance, Insurance, and Real Estate","Corporation","1841","00032537 OKPO","National commercial bank (6021)"
"RZHD, PAO","2 ul. Basmannaya Nov., MOSCOW, 107174, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2003","00083262 OKPO","Local/suburban transportation (4111)"
"TANDER, AO","185 ul. Im. Levanevskogo, Krasnodar, 350002, RUSSIAN FEDERATION","Retail Trade","Corporation","1996","41351125 OKPO","Ret groceries (5411)"
"GAZPROM NEFT, PAO","d. 3-5 litera A Ch. pom. 1N kab. 2401, ul. Pochtamtskaya, St. Petersburg, 190000, RUSSIAN FEDERATION","Wholesale Trade","Corporation","1995","42045241 OKPO","Whol petroleum products (5172)"
"AGROTORG, OOO","d. 90/92 prospekt Nevski, St. Petersburg, 191025, RUSSIAN FEDERATION","Retail Trade","Corporation","1998","50018413 OKPO","Ret misc merchandise (5999)"
"SURGUTNEFTEGAZ, PAO","d. 1 k. 1, ul. Grigoriya Kukuevitskogo, Surgut, 628415, RUSSIAN FEDERATION","Mining","Corporation","1996","05753490 OKPO","Crude petroleum/natural gas production (1311)"
"GAZPROM MEZHREGIONGAZ, OOO","d. 24 litera A, naberezhnaya Admirala Lazareva, St. Petersburg, 197110, RUSSIAN FEDERATION","Wholesale Trade","Corporation","1996","45138919 OKPO","Whol petroleum products (5172)"
"BANK VTB, PAO","d. 11 litera A, per. Degtyarny, St. Petersburg, 191144, RUSSIAN FEDERATION","Finance, Insurance, and Real Estate","Corporation","1990","00032520 OKPO","Commercial bank (6029)"
"RZHD, PAO","2 ul. Basmannaya Nov., MOSCOW, 107174, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2003","00083262 OKPO","Local/suburban transportation (4111)"
"POCHTA ROSSII, AO","37 shosse Varshavskoe, MOSCOW, 131000, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2003","7724490000 INN","Local trucking operator (4212)"
"SBERBANK, PAO","d. 19 ul. Vavilova, MOSCOW, 117997, RUSSIAN FEDERATION","Finance, Insurance, and Real Estate","Corporation","1841","00032537 OKPO","National commercial bank (6021)"
"TANDER, AO","185 ul. Im. Levanevskogo, Krasnodar, 350002, RUSSIAN FEDERATION","Retail Trade","Corporation","1996","41351125 OKPO","Ret groceries (5411)"
"AGROTORG, OOO","d. 90/92 prospekt Nevski, St. Petersburg, 191025, RUSSIAN FEDERATION","Retail Trade","Corporation","1998","50018413 OKPO","Ret misc merchandise (5999)"
"ROSTELEKOM, PAO","d. 14 litera A, naberezhnaya Sinopskaya, St. Petersburg, 191167, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1993","17514186 OKPO","Telephone communications (4813)"
"SURGUTNEFTEGAZ, PAO","d. 1 k. 1, ul. Grigoriya Kukuevitskogo, Surgut, 628415, RUSSIAN FEDERATION","Mining","Corporation","1996","05753490 OKPO","Crude petroleum/natural gas production (1311)"
"MOSKOVSKI METROPOLITEN, GUP","d. 41 str. 2, prospekt Mira, MOSCOW, 129110, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1994","03324364 OKPO","Local/suburban transportation (4111)"
"BANK VTB, PAO","d. 11 litera A, per. Degtyarny, St. Petersburg, 191144, RUSSIAN FEDERATION","Finance, Insurance, and Real Estate","Corporation","1990","00032520 OKPO","Commercial bank (6029)"
"FPK, AO","d. 34 ul. Mashi Poryvaevoi, MOSCOW, 107078, RUSSIAN FEDERATION","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2009","94154560 OKPO","Local/suburban transportation (4111)"
"DERZHAVNY OSHCHADNY BANK UKRAINY, AT","Bud. 12-G, Vul. Gospitalna, Kyiv, 01001, UKRAINE","Finance, Insurance, and Real Estate","Corporation","1991","00032129 EDRPOU","National commercial bank (6021)"
"ATB-MARKET , TOV","Bud. 40 prospekt Oleksandra Polia, Dnipro, 49000, UKRAINE","Retail Trade","Corporation","1999","30487219 EDRPOU","Ret groceries (5411)"
"NATSIONALNA AKTSIONERNA KOMPANIYA NAFTOGAZ UKRAINY, AT","Bud. 6 vul.Bogdana Khmelnytskogo, Kyiv, 01601, UKRAINE","Finance, Insurance, and Real Estate","Corporation","1998","20077720 EDRPOU","Holding company (6719)"
"RAIFFAIZEN BANK, PRAT","Bud. 9, Vul. Leskova, Kyiv, 01011, UKRAINE","Finance, Insurance, and Real Estate","Corporation","1992","14305909 EDRPOU","National commercial bank (6021)"
"MARIUPOLSKYI METALURGIINYI KOMBINAT IMENI ILLICHA, PrAT","Bud. 1 vul. Levchenka, Mariupol, 87504, UKRAINE","Manufacturing","Corporation","1996","00191129 EDRPOU","Blast furnace-steel works (3312)"
"UKRAINSKA ZALIZNYTSYA, AT","Bud. 5, Vul. Ezhy Gedroitsya, Kyiv, 03150, UKRAINE","Mining","Corporation","2015","40075815 EDRPOU","Dimension stone quarry (1411)"
"KERNEL-TREID, TOV","Bud. 3 prov.Tarasa Shevchenka, Kyiv, 01001, UKRAINE","Wholesale Trade","Corporation","2001","31454383 EDRPOU","Whol grain/field beans (5153)"
"GARANTOVANY POKUPETS, DP","Bud. 27 vul.Symona Petlyury, Kyiv, 01032, UKRAINE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2019","43068454 EDRPOU","Electric services (4911)"
"SILPO-FOOD, LLC","Bud. 1 Vul. Butlerova, Kyiv, 02090, UKRAINE","Retail Trade","Corporation","2016","40720198 EDRPOU","Ret groceries (5411)"
"ARCELORMITTAL KRYVYI RIH, PAT","Bud. 1 vul.Kryvorizhstali(Ordzhonikidze), Kryvy Rih, 50095, UKRAINE","Manufacturing","Corporation","1996","24432974 EDRPOU","Blast furnace-steel works (3312)"
"UKRAINSKA ZALIZNYTSYA, AT","Bud. 5, Vul. Ezhy Gedroitsya, Kyiv, 03150, UKRAINE","Mining","Corporation","2015","40075815 EDRPOU","Dimension stone quarry (1411)"
"UKRPOSHTA, AT","Bud. 22, Vul. Khreshchatyk, Kyiv, 01001, UKRAINE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1993","21560045 EDRPOU","U.S. Postal Service (4311)"
"DERZHAVNE PIDPRYEMSTVO DONETSKA ZALIZNYTSYA, DP","68 vul.Artema, Misto Donetsk, 83000, UKRAINE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1998","01074957 EDRPOU","Railroad line-haul operator (4011)"
"ATB-MARKET , TOV","Bud. 40 prospekt Oleksandra Polia, Dnipro, 49000, UKRAINE","Retail Trade","Corporation","1999","30487219 EDRPOU","Ret groceries (5411)"
"LVIVSKA ZALIZNYTSYA, OBEDNANNYA","Bud. 1 vul.Gogolya, Misto Lviv, 79007, UKRAINE","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1992","01059900 EDRPOU","Local/suburban transportation (4111)"
"PIVDENNA ZALIZNYTSYA, DP","Bud. 7 Vulytsya Chervonoarmiiska, Misto Kharkiv, 61052, UKRAINE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1992","01072609 EDRPOU","Railroad line-haul operator (4011)"
"SILPO-FOOD, LLC","Bud. 1 Vul. Butlerova, Kyiv, 02090, UKRAINE","Retail Trade","Corporation","2016","40720198 EDRPOU","Ret groceries (5411)"
"DERZHAVNY OSHCHADNY BANK UKRAINY, AT","Bud. 12-G, Vul. Gospitalna, Kyiv, 01001, UKRAINE","Finance, Insurance, and Real Estate","Corporation","1991","00032129 EDRPOU","National commercial bank (6021)"
"NATSIONALNA ATOMNA ENERGOGENERUYUCHA KOMPANIYA ENERGOATOM, DP","Bud. 3, Vul. Nazarivska, Kyiv, 01032, UKRAINE","Construction","Corporation","1996","24584661 EDRPOU","Residential construction (1522)"
"UKRNAFTA, PAT","Bud. 3-5 Provulok Nestorivskyi, Kyiv, 04053, UKRAINE","Mining","Corporation","1994","00135390 EDRPOU","Crude petroleum/natural gas production (1311)"
"Lidl Österreich GmbH","Unter der Leiten 11, SALZBURG, 5020, Salzburg, AUSTRIA","Retail Trade","Foreign Company","1995","FN131556s FN","Ret groceries (5411)"
"BP Europa SE","Industriezentrum NÖ-Süd, Straße 6/Objekt 17, Wiener Neudorf, 2355, Niederösterreich, AUSTRIA","Mining","Foreign Company","1950","FN343335f FN","Crude petroleum/natural gas production (1311)"
"HOCHTIEF Infrastructure GmbH","Modecenterstraße 17/Objekt 2/6. OG, WIEN, 1110, Wien, AUSTRIA","Construction","Foreign Company","2013","FN417357k FN","Bridge/tunnel construction (1622)"
"""UNSER LAGERHAUS"" WARENHANDELSGESELLSCHAFT m.b.H.","Südring 240, KLAGENFURT, 9020, Kärnten, AUSTRIA","Retail Trade","Corporation","1990","FN109975d FN","Ret misc merchandise (5999)"
"OMV Aktiengesellschaft","Trabrennstraße 6-8, WIEN, 1020, Wien, AUSTRIA","Mining","Corporation","1943","FN93363z FN","Crude petroleum/natural gas production (1311)"
"WINGAS GmbH","Millennium Tower Handelskai 94-96/25. Stock, WIEN, 1200, Wien, AUSTRIA","Wholesale Trade","Foreign Company","2012","FN387603f FN","Whol petroleum products (5172)"
"STRABAG SE","Triglavstraße 9, VILLACH, 9500, Kärnten, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1984","FN88983h FN","Holding company (6719)"
"OMV Gas Marketing & Trading GmbH","Trabrennstraße 6-8, WIEN, 1020, Wien, AUSTRIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2002","FN223028h FN","Natural gas distribution (4924)"
"HOLDAG Beteiligungsgesellschaft m.b.H.","Europastraße 3, SALZBURG, 5015, Salzburg, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1984","FN61245t FN","Holding company (6719)"
"MAHLE Holding Austria GmbH","St. Michael ob Bleiburg 19, ST. MICHAEL BEI BLEIBURG, 9143, Kärnten, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1968","FN96839k FN","Holding company (6719)"
"STRABAG SE","Triglavstraße 9, VILLACH, 9500, Kärnten, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1984","FN88983h FN","Holding company (6719)"
"HOLDAG Beteiligungsgesellschaft m.b.H.","Europastraße 3, SALZBURG, 5015, Salzburg, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1984","FN61245t FN","Holding company (6719)"
"Stadt Wien","Thomas-Klestil-Platz 7, WIEN, 1030, Wien, AUSTRIA","Public Sector","Local Government Body","1221","ATU36801500 UID","General government (9199)"
"SPAR HOLDING AG","Europastraße 3, SALZBURG, 5015, Salzburg, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","2004","FN256183s FN","Holding company (6719)"
"voestalpine AG","VOEST-ALPINE-Straße 1, LINZ, 4020, Oberösterreich, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1993","FN66209t FN","Holding company (6719)"
"Erste Group Bank AG","Am Belvedere 1, WIEN, 1100, Wien, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1819","FN33209m FN","Commercial bank (6029)"
"Raiffeisen Bank International AG","Am Stadtpark 9, WIEN, 1030, Wien, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","1991","FN122119m FN","Commercial bank (6029)"
"Österreichische Bundesbahnen-Holding Aktiengesellschaft","Am Hauptbahnhof 2, WIEN, 1100, Wien, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","2004","FN247642f FN","Holding company (6719)"
"Trenkwalder Beteiligungs GmbH","Rennweg 97-99, WIEN, 1030, Wien, AUSTRIA","Finance, Insurance, and Real Estate","Corporation","2007","FN291295a FN","Holding company (6719)"
"D. Swarovski KG","Swarovskistraße 30, WATTENS, 6112, Tirol, AUSTRIA","Manufacturing","Partnership Of Unknown Type","1895","FN22150z FN","Mfg precious metal jewelry (3911)"
"SKODA AUTO a.s.","tr. Václava Klementa 869, Mladá Boleslav II, 293 01, CZECH REPUBLIC","Manufacturing","Corporation","1990","00177041 ICO","Mfg motor vehicle/car bodies (3711)"
"CEZ, a. s.","Duhová 1444/2, Praha 4 - Michle, 140 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1992","45274649 ICO","Electric services (4911)"
"Hlavní mesto Praha","Mariánské námestí 2/2, Praha 1 - Staré Mesto, 110 00, CZECH REPUBLIC","Public Sector","Local Government Body","1973","00064581 ICO","General government (9199)"
"ALPIQ ENERGY SE","Jungmannova 26/15, Praha 1 - Nové Mesto, 110 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2008","28477090 ICO","Electric services (4911)"
"ORLEN Unipetrol RPA s.r.o.","Záluzí 1, Litvínov - Záluzí, 436 01, CZECH REPUBLIC","Manufacturing","Corporation","2006","27597075 ICO","Mfg plastic materials/resins (2821)"
"FOXCONN CZ s.r.o.","U Zámecku 27, Pardubice - Pardubicky, 530 03, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2000","25938002 ICO","Transportation services (4789)"
"Continental Automotive Czech Republic s.r.o.","Hradecká 1092, Jicín - Valdické Predmestí, 506 01, CZECH REPUBLIC","Manufacturing","Corporation","1994","62024922 ICO","Mfg hardware (3429)"
"RWE Supply & Trading CZ, a.s.","Limuzská 3135/12, Praha 10 - Strasnice, 108 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2001","26460815 ICO","Natural gas distribution (4924)"
"Ceskoslovenská obchodní banka, a. s.","Radlická 333/150, Praha 5 - Radlice, 150 00, CZECH REPUBLIC","Finance, Insurance, and Real Estate","Corporation","1990","00001350 ICO","National commercial bank (6021)"
"Foxconn European Manufacturing Services s.r.o.","U Zámecku 27, Pardubice - Pardubicky, 530 03, CZECH REPUBLIC","Manufacturing","Corporation","2002","25965361 ICO","Mfg electronic computers (3571)"
"SKODA AUTO a.s.","tr. Václava Klementa 869, Mladá Boleslav II, 293 01, CZECH REPUBLIC","Manufacturing","Corporation","1990","00177041 ICO","Mfg motor vehicle/car bodies (3711)"
"Ministerstvo obrany","Tychonova 221/1, Praha 6 - Hradcany, 160 00, CZECH REPUBLIC","Public Sector","Local Government Body","1992","60162694 ICO","General government (9199)"
"Správa zeleznic, státní organizace","Dlázdená 1003/7, Praha 1 - Nové Mesto, 110 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Government Body","2003","70994234 ICO","Transportation services (4789)"
"Generální financní reditelství","Lazarská 15/7, Praha 1 - Nové Mesto, 110 00, CZECH REPUBLIC","Public Sector","Local Government Body","2011","72080043 ICO","General government (9199)"
"Ceské dráhy, a.s.","nábrezí Ludvíka Svobody 1222/12, Praha 1 - Nové Mesto, 110 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2003","70994226 ICO","Railroad line-haul operator (4011)"
"Ceska posta, s.p.","Politickych veznu 909/4, Praha 1, 22599, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Government Body","1993","47114983 ICO","Local trucking operator (4212)"
"Kaufland Ceská republika v.o.s.","Belohorská 2428/203, Praha 6 - Brevnov, 169 00, CZECH REPUBLIC","Retail Trade","Corporation","1997","25110161 ICO","Ret alcoholic beverages (5921)"
"Dopravní podnik hl. m. Prahy, akciová spolecnost","Sokolovská 42/217, Praha 9 - Vysocany, 190 00, CZECH REPUBLIC","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1991","00005886 ICO","Local/suburban transportation (4111)"
"Albert Ceská republika, s.r.o.","Radlická 520/117, Praha 5 - Jinonice, 158 00, CZECH REPUBLIC","Retail Trade","Corporation","1991","44012373 ICO","Gasoline service station (5541)"
"Continental Automotive Czech Republic s.r.o.","Hradecká 1092, Jicín - Valdické Predmestí, 506 01, CZECH REPUBLIC","Manufacturing","Corporation","1994","62024922 ICO","Mfg hardware (3429)"
"AUDI HUNGARIA Zártkörüen Müködö Részvénytársaság","Audi Hungária út 1., Györ, 9027, HUNGARY","Manufacturing","Joint Venture","2011","23391475208 Adószám","Mfg motor vehicle/car bodies (3711)"
"MOL Magyar Olaj- és Gázipari Nyilvánosan Müködö Részvénytársaság","Október huszonharmadika u. 18., Budapest, 1117, Budapest, HUNGARY","Manufacturing","Joint Venture","1991","10625790444 Adószám","Petroleum refiner (2911)"
"Mercedes-Benz Manufacturing Hungary Korlátolt Felelösségü Társaság","Mercedes út 1., Kecskemét, 6000, Bács-Kiskun megye, HUNGARY","Manufacturing","Corporation","2008","14398649203 Adószám","Mfg motor vehicle/car bodies (3711)"
"Samsung Electronics Magyar Zártkörüen Müködö Részvénytársaság","Samsung tér 1., Jászfényszaru, 5126, Jász-Nagykun-Szolnok megye, HUNGARY","Manufacturing","Joint Venture","1989","10276451216 Adószám","Mfg communications equipment (3669)"
"WIZZ Air Hungary Légiközlekedési Zártkörüen Müködö Részvénytársaság","Köér utca 2/A B. ép. II-V, Budapest, 1103, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","2018","26648525244 Adószám","Scheduled air transportation (4512)"
"Flextronics International Termelö és Szolgáltató Vámszabadterületi Korlátolt Felelösségü T","Munkás u.28., Tab, 8660, Somogy megye, HUNGARY","Manufacturing","Corporation","1992","11222149214 Adószám","Mfg home audio/video equipment (3651)"
"OTP Bank Nyrt.","Nádor u.16., Budapest, 1051, Budapest, HUNGARY","Finance, Insurance, and Real Estate","Joint Venture","1990","10537914444 Adószám","National commercial bank (6021)"
"Országos Dohányboltellátó Korlátolt Felelösségü Társaság","Erzsébeti út 5/b., Hódmezövásárhely, 6800, HUNGARY","Wholesale Trade","Corporation","2015","25311565206 Adószám","Whol tobacco products (5194)"
"MVM Next Energiakereskedelmi Zrt.","II. János Pál pápa tér 20., Budapest, 1081, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","2019","26713111244 Adószám","Natural gas distribution (4924)"
"Lidl Magyarország Kereskedelmi Betéti Társaság","Rádl árok 6., Budapest, 1037, Budapest, HUNGARY","Retail Trade","Partnership Of Unknown Type","2003","21588017244 Adószám","Ret groceries (5411)"
"Magyar Posta Zártkörüen Müködö Részvénytársaság","Dunavirág utca 2-6., Budapest, 1138, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","1993","10901232244 Adószám","U.S. Postal Service (4311)"
"VOLÁNBUSZ Közlekedési zártkörüen müködö Részvénytársaság","Üllöi út 131., Budapest, 1091, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","1992","10824346244 Adószám","Local/suburban transportation (4111)"
"MÁV Magyar Államvasutak Zártkörüen Müködö Részvénytársaság","Könyves Kálmán krt. 54-60., Budapest, 1087, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","1993","10856417244 Adószám","Transportation services (4789)"
"MÁV-START Vasúti Személyszállító Zártkörüen Müködö Részvénytársaság","Könyves Kálmán krt. 54-60., Budapest, 1087, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","2006","13834492244 Adószám","Railroad line-haul operator (4011)"
"SPAR Magyarország Kereskedelmi Korlátolt Felelösségü Társaság","SPAR út 0326/1.hrsz, Bicske, 2060, Fejér megye, HUNGARY","Retail Trade","Corporation","1990","10485824207 Adószám","Ret groceries (5411)"
"AUDI HUNGARIA Zártkörüen Müködö Részvénytársaság","Audi Hungária út 1., Györ, 9027, HUNGARY","Manufacturing","Joint Venture","2011","23391475208 Adószám","Mfg motor vehicle/car bodies (3711)"
"TESCO-GLOBAL Áruházak Zártkörüen Müködö Részvénytársaság","Kinizsi út 1-3., Budaörs, 2040, Pest megye, HUNGARY","Retail Trade","Joint Venture","1989","10307078244 Adószám","Ret groceries (5411)"
"Budapesti Közlekedési Zártkörüen Müködö Részvénytársaság","Akácfa u. 15., Budapest, 1980, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","1995","12154481444 Adószám","Local/suburban transportation (4111)"
"OTP Bank Nyrt.","Nádor u.16., Budapest, 1051, Budapest, HUNGARY","Finance, Insurance, and Real Estate","Joint Venture","1990","10537914444 Adószám","National commercial bank (6021)"
"Országos Mentöszolgálat","Markó utca 22., Budapest, 1055, Budapest, HUNGARY","Services","Government Body","1983","15309989241 Adószám","Health/allied services (8099)"
"AUDI HUNGARIA Zártkörüen Müködö Részvénytársaság","Audi Hungária út 1., Györ, 9027, HUNGARY","Manufacturing","Joint Venture","2011","23391475208 Adószám","Mfg motor vehicle/car bodies (3711)"
"MOL Magyar Olaj- és Gázipari Nyilvánosan Müködö Részvénytársaság","Október huszonharmadika u. 18., Budapest, 1117, Budapest, HUNGARY","Manufacturing","Joint Venture","1991","10625790444 Adószám","Petroleum refiner (2911)"
"Mercedes-Benz Manufacturing Hungary Korlátolt Felelösségü Társaság","Mercedes út 1., Kecskemét, 6000, Bács-Kiskun megye, HUNGARY","Manufacturing","Corporation","2008","14398649203 Adószám","Mfg motor vehicle/car bodies (3711)"
"Samsung Electronics Magyar Zártkörüen Müködö Részvénytársaság","Samsung tér 1., Jászfényszaru, 5126, Jász-Nagykun-Szolnok megye, HUNGARY","Manufacturing","Joint Venture","1989","10276451216 Adószám","Mfg communications equipment (3669)"
"WIZZ Air Hungary Légiközlekedési Zártkörüen Müködö Részvénytársaság","Köér utca 2/A B. ép. II-V, Budapest, 1103, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","2018","26648525244 Adószám","Scheduled air transportation (4512)"
"Flextronics International Termelö és Szolgáltató Vámszabadterületi Korlátolt Felelösségü T","Munkás u.28., Tab, 8660, Somogy megye, HUNGARY","Manufacturing","Corporation","1992","11222149214 Adószám","Mfg home audio/video equipment (3651)"
"OTP Bank Nyrt.","Nádor u.16., Budapest, 1051, Budapest, HUNGARY","Finance, Insurance, and Real Estate","Joint Venture","1990","10537914444 Adószám","National commercial bank (6021)"
"Országos Dohányboltellátó Korlátolt Felelösségü Társaság","Erzsébeti út 5/b., Hódmezövásárhely, 6800, HUNGARY","Wholesale Trade","Corporation","2015","25311565206 Adószám","Whol tobacco products (5194)"
"MVM Next Energiakereskedelmi Zrt.","II. János Pál pápa tér 20., Budapest, 1081, Budapest, HUNGARY","Transportation, Communications, Electric, Gas, and Sanitary Services","Joint Venture","2019","26713111244 Adószám","Natural gas distribution (4924)"
