name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
denbury,$4.19 b,usa,n/a,#2654,-0.44%,🛢 oil&gas ⚡ energy,$83.70
canada goose,$4.19 b,canada,22.34%,#2651,-0.74%,👚 clothing 🏭 manufacturing,$39.14
flywire,$4.19 b,usa,n/a,#2652,0.22%,💳 financial services👩‍💻 tech,$40.11
aurubis,$4.18 b,germany,28.71%,#2657,-0.33%,,$95.48
sensient technologies,$4.18 b,usa,33.23%,#2658,0.64%,,$99.54
wns,$4.18 b,india,21.21%,#2660,0.27%,,$85.78
bloom energy,$4.19 b,usa,-3.60%,#2653,-0.79%,⚡ energy🌞 renewable energy,$23.92
ryan specialty group,$4.18 b,usa,n/a,#2661,-0.29%,💳 financial services,$38.05
strabag,$4.17 b,austria,30.92%,#2663,-0.55%,🏗 construction,$40.66
atlantica,$4.16 b,uk,13.13%,#2664,-0.56%,🛢 oil&gas transportation🛣️ infrastructure,$37.36
safehold,$4.17 b,usa,6.86%,#2662,1.22%,,$73.84
kangwon land,$4.16 b,south korea,4.43%,#2666,-2.02%,🏨 hotels🎰 gambling entertainment🌴 travel,$20.54
herbalife,$4.16 b,usa,-25.04%,#2667,-0.56%,👪 multi-level marketing🥑 dietary supplements,$37.13
formosa sumco technology,$4.16 b,taiwan,91.78%,#2668,6.25%,📟 semiconductors👩‍💻 tech💻 tech hardware,$10.73
marathon digital holdings,$4.21 b,usa,568.34%,#2645,-0.70%,₿ bitcoin👩‍💻 tech,$41.08
alsok,$4.15 b,japan,-12.59%,#2669,-0.53%,,$41.03
ryman healthcare,$4.15 b,new zealand,-18.11%,#2670,1.24%,⚕️ healthcare,$8.30
madras rubber factory,$4.15 b,india,-4.72%,#2671,-0.60%,tires,$978.60
moelis & company,$4.13 b,usa,39.67%,#2673,-0.98%,💳 financial services,$60.14
taskus,$4.16 b,usa,n/a,#2665,-0.34%,💼 professional services,$42.80
cabot microelectronics,$4.18 b,usa,-1.91%,#2659,1.00%,,$147.14
joby aviation,$4.13 b,usa,n/a,#2674,-0.44%,✈️ aircraft manufacturers🚀 aerospace 🏭 manufacturing,$6.85
top glove,$4.13 b,malaysia,-65.64%,#2675,-9.62%,,$0.52
empresas cmpc,$4.13 b,chile,-21.57%,#2676,-0.07%,📄 pulp and paper,$1.65
fireeye,$4.13 b,usa,28.02%,#2677,-3.41%,👩‍💻 software🔒 it security👩‍💻 tech,$17.27
h&r block,$4.12 b,usa,44.14%,#2680,-0.49%,,$23.50
hugo boss,$4.12 b,germany,90.75%,#2679,1.11%,⌚ luxury goods,$59.79
broadstone net lease,$4.12 b,usa,n/a,#2682,0.83%,🏠 real estate💰 investment 🏘️ reits,$25.55
h.b. fuller,$4.12 b,usa,47.45%,#2678,0.54%,,$78.57
bank mega,$4.11 b,indonesia,21.43%,#2683,0.00%,🏦 banks💳 financial services,$0.59
workman,$4.11 b,japan,-29.44%,#2685,-3.21%,🛍️ retail,$50.45
ttec,$4.11 b,usa,21.31%,#2688,-0.70%,,$87.55
neogenomics,$4.11 b,usa,-33.26%,#2684,1.21%,🧬 genomics🧬 biotech⚕️ diagnostics and testing,$33.45
lithium americas,$4.14 b,canada,233.66%,#2672,1.53%,⛏️ mining,$34.52
msg sports,$4.11 b,usa,-3.98%,#2686,-0.25%,,$169.98
southwest gas,$4.10 b,usa,6.61%,#2691,-0.76%,,$67.98
frasers logistics & industrial trust,$4.10 b,singapore,12.59%,#2692,0.00%,🏠 real estate💰 investment 🏘️ reits,$1.11
pennymac,$4.10 b,usa,17.71%,#2693,0.42%,,$69.49
japan airport terminal,$4.09 b,japan,-22.42%,#2694,-2.34%,🛫 airports,$44.02
installed building products,$4.09 b,usa,47.02%,#2695,0.48%,,$137.89
sunpower,$4.12 b,usa,11.53%,#2681,2.58%,,$23.82
apellis pharmaceuticals,$4.10 b,usa,-15.02%,#2690,1.64%,,$42.20
buzzi unicem,$4.09 b,italy,-3.57%,#2696,-0.42%,cement🧱 building materials,$21.30
sprinklr,$4.11 b,usa,n/a,#2689,19.36%,👩‍💻 software👩‍💻 tech,$16.13
tilray,$4.11 b,canada,12.88%,#2687,-0.67%,💊 pharmaceuticals🧬 biotech cannabis,$8.88
indian railway finance,$4.08 b,india,n/a,#2699,0.42%,🚂 railways💰 investment🛣️ infrastructure,$0.31
shutterstock,$4.08 b,usa,67.07%,#2697,0.16%,,$111.90
contact energy,$4.08 b,new zealand,-3.00%,#2700,-1.15%,🚰 utility companies🔋 electricity ⚡ energy,$5.24
clearway energy,$4.08 b,usa,17.64%,#2698,0.39%,,$35.89
acushnet holdings,$4.07 b,usa,39.35%,#2701,0.64%,,$55.38
national beverage,$4.07 b,usa,-41.43%,#2702,-9.98%,🥤 beverages,$43.68
brp group,$4.07 b,usa,25.47%,#2703,-0.36%,🏦 insurance,$36.32
tuya,$4.07 b,china,n/a,#2704,5.35%,iot👩‍💻 software👩‍💻 tech,$7.28
allakos,$4.07 b,usa,-35.39%,#2705,1.20%,,$75.00
potlatchdeltic,$4.07 b,usa,25.30%,#2706,1.43%,,$60.69
freedom holding,$4.06 b,kazakhstan,78.66%,#2707,0.99%,💳 financial services,$68.33
nexans,$4.06 b,france,n/a,#2708,-0.79%,,$92.27
nikola,$4.06 b,usa,-45.71%,#2709,0.50%,🚗 automakers💧 hydrogen fuel cell🔋 electric vehicles,$9.99
chegg,$4.06 b,usa,-64.30%,#2710,0.07%,🎓 education🖥️ internet👩‍💻 tech,$28.02
virgin galactic,$4.06 b,usa,-51.32%,#2711,0.62%,🚀 aerospace,$15.74
lion corp,$4.05 b,japan,-35.50%,#2712,-0.69%,🛍 consumer goods,$13.96
alarm.com,$4.05 b,usa,5.94%,#2713,0.24%,,$81.04
tower semiconductor,$4.05 b,israel,43.09%,#2714,-0.05%,,$36.94
indofood,$4.04 b,indonesia,-6.43%,#2715,1.15%,🍴 food,$0.46
commercial metals company,$4.04 b,usa,61.49%,#2716,0.71%,,$33.28
dairy farm,$4.04 b,hong kong,-27.29%,#2717,-0.66%,🛍️ retail,$2.99
conmed,$4.04 b,usa,36.40%,#2718,0.22%,,$138.31
spie,$4.04 b,france,31.76%,#2719,-0.18%,💼 professional services,$25.25
flowserve,$4.04 b,usa,-14.11%,#2720,-0.66%,,$31.03
tag immobilien,$4.04 b,germany,0.95%,#2721,-0.20%,🏠 real estate,$27.60
spectrum brands,$4.02 b,usa,41.91%,#2722,0.00%,,$97.82
parkland corp,$4.02 b,canada,-14.74%,#2723,0.09%,🛍️ retail🛢 oil&gas ⚡ energy,$26.42
abcellera,$4.02 b,canada,n/a,#2724,-1.72%,🧬 biotech💊 pharmaceuticals,$14.30
arcadis,$4.02 b,netherlands,57.50%,#2725,-0.44%,,$45.83
lci industries,$4.02 b,usa,22.89%,#2726,-0.08%,,$159.14
rheinmetall,$4.01 b,germany,2.92%,#2730,0.20%,🚘 automotive suppliers🔫 defense contractors,$92.48
weingarten realty,$4.01 b,usa,40.48%,#2731,-2.06%,🏠 real estate💰 investment 🏘️ reits,$31.44
datto,$4.02 b,usa,n/a,#2729,0.86%,👩‍💻 software👩‍💻 tech🔒 it security,$24.66
physicians realty trust,$4.01 b,usa,2.76%,#2732,0.09%,,$18.24
bakkafrost,$4.01 b,denmark,17.99%,#2733,0.20%,🍴 food,$67.90
entra,$4.01 b,norway,12.54%,#2734,0.30%,🏠 real estate,$22.03
canopy growth,$4.02 b,canada,-62.50%,#2727,-0.20%,cannabis,$10.18
ballard power systems,$4.01 b,canada,-31.61%,#2735,-0.30%,💧 hydrogen fuel cell,$13.42
inari medical,$4.06 b,usa,19.29%,#2712,1.11%,,$80.92
pershing square tontine,$3.99 b,usa,-23.04%,#2737,0.08%,💳 financial services,$19.96
knowbe4,$3.97 b,usa,n/a,#2740,0.48%,🔒 it security👩‍💻 tech👩‍💻 software,$23.19
supreme industries,$3.98 b,india,34.95%,#2738,1.87%,,$31.30
infratil,$3.97 b,new zealand,13.44%,#2739,0.00%,💰 investment,$5.50
mayr-melnhof,$3.97 b,austria,19.22%,#2743,-0.79%,📄 pulp and paper📦 packaging,$197.42
sarana menara nusantara,$3.96 b,indonesia,9.13%,#2744,0.88%,📡 telecommunication🏠 real estate,$0.08
new oriental,$3.97 b,china,-98.62%,#2742,4.07%,🎓 education,$2.30
select medical holdings,$3.95 b,usa,12.46%,#2748,0.12%,,$29.47
fletcher building,$3.95 b,new zealand,28.82%,#2745,0.00%,🏗 construction,$4.81
aditya birla capital,$3.95 b,india,29.30%,#2746,-0.16%,💳 financial services🏦 insurance,$1.64
adaptive biotechnologies,$3.99 b,usa,-47.07%,#2736,3.28%,🧬 biotech💊 pharmaceuticals,$28.31
pccw,$3.95 b,hong kong,-15.29%,#2747,0.00%,📡 telecommunication,$0.51
home bancshares,$3.94 b,usa,25.21%,#2749,-0.58%,,$24.10
applied industrial technologies,$3.94 b,usa,30.81%,#2750,0.07%,,$102.56
community bank system,$3.94 b,usa,12.32%,#2751,0.03%,,$73.06
veoneer,$3.93 b,sweden,73.69%,#2752,-0.06%,🚘 automotive suppliers,$35.17
b2gold,$3.93 b,canada,-33.03%,#2753,-0.27%,⛏️ mining ⛏️ gold mining,$3.72
kingsoft cloud,$3.93 b,china,-61.23%,#2754,2.52%,,$16.29
iqiyi,$3.97 b,china,-76.95%,#2741,1.31%,,$5.04
sjm holdings,$3.92 b,hong kong,-39.36%,#2755,-2.00%,🏨 hotels🎰 gambling entertainment🌴 travel,$0.69
hamilton lane,$3.91 b,usa,44.15%,#2760,-0.22%,,$105.26
joyy,$3.91 b,china,-41.81%,#2756,1.39%,,$50.28
national vision holdings,$3.91 b,usa,1.19%,#2757,0.99%,,$47.38
leonardo,$3.90 b,italy,-4.64%,#2762,-0.43%,🚀 aerospace🔫 defense contractors,$6.79
aci worldwide,$3.90 b,usa,-14.87%,#2763,0.85%,,$33.20
academy sports,$3.91 b,usa,n/a,#2758,1.78%,🎾 sports goods🛍️ retail,$44.00
zooplus,$3.89 b,germany,n/a,#2764,0.29%,🛒 e-commerce🖥️ internet👩‍💻 tech,$543.71
triton international,$3.89 b,bermuda,30.37%,#2765,0.22%,rental & leasing services,$58.34
asbury automotive group,$3.89 b,usa,21.64%,#2767,0.43%,,$168.24
compugroup medical,$3.89 b,germany,-11.65%,#2766,0.23%,,$74.71
pnm resources,$3.88 b,usa,-8.55%,#2768,0.83%,,$45.32
sm energy,$3.90 b,usa,466.25%,#2761,2.00%,🛢 oil&gas ⚡ energy,$32.17
unifirst,$3.91 b,usa,6.79%,#2759,1.19%,,$207.47
ca immo,$3.88 b,austria,29.37%,#2770,-7.70%,🏠 real estate,$38.57
grupo catalana occidente,$3.88 b,spain,-0.87%,#2771,0.35%,🏦 insurance,$32.36
viavi solutions,$3.88 b,usa,20.04%,#2769,1.11%,,$16.35
mdc holdings,$3.87 b,usa,14.16%,#2774,1.16%,,$54.82
steve madden,$3.88 b,usa,39.48%,#2772,-0.63%,,$47.68
powerschool,$3.87 b,usa,n/a,#2776,1.77%,👩‍💻 software👩‍💻 tech🎓 education,$19.52
kb home,$3.87 b,usa,28.62%,#2773,0.93%,🏗 construction,$44.32
box,$3.87 b,usa,50.81%,#2775,0.58%,👩‍💻 software👩‍💻 tech,$26.12
nikon,$3.86 b,japan,68.47%,#2778,-1.32%,🔌 electronics👩‍💻 tech💻 tech hardware,$10.44
sonos,$3.86 b,usa,48.53%,#2777,-2.53%,,$30.43
avnet,$3.85 b,usa,21.83%,#2781,0.13%,,$38.89
invitae,$3.86 b,usa,-68.68%,#2779,3.64%,⚕️ diagnostics and testing🧬 genomics🧬 biotech,$17.07
lgi homes,$3.86 b,usa,48.02%,#2780,0.52%,,$159.14
hudson pacific properties,$3.85 b,usa,-1.62%,#2783,-0.98%,,$25.29
dr lal pathlabs,$3.84 b,india,54.34%,#2785,-1.08%,⚕️ diagnostics and testing,$46.18
beacon roofing supply,$3.84 b,usa,41.08%,#2787,-0.42%,,$54.86
eastern bankshares,$3.85 b,usa,n/a,#2784,0.59%,🏦 banks💳 financial services,$20.62
chimera investment corporation,$3.84 b,usa,51.12%,#2788,0.03%,🏠 real estate💰 investment 🏘️ reits,$16.24
cornerstone ondemand,$3.84 b,usa,32.65%,#2789,0.00%,👩‍💻 software👩‍💻 tech,$57.49
tata teleservices,$3.84 b,india,"1,591.02%",#2790,4.99%,📡 telecommunication,$1.95
f.n.b. corporation,$3.84 b,usa,25.97%,#2786,0.29%,,$12.07
fannie mae,$3.83 b,usa,-69.64%,#2791,0.00%,💳 financial services,$5.13
sime darby,$3.83 b,malaysia,n/a,#2792,-0.83%,,$0.56
société foncière lyonnaise,$3.83 b,france,22.02%,#2793,-0.50%,🏠 real estate💰 investment 🏘️ reits,$89.68
independent bank,$3.83 b,usa,10.26%,#2794,-0.23%,🏦 banks💳 financial services,$80.95
jamf,$3.85 b,usa,3.02%,#2782,-0.06%,👩‍💻 software👩‍💻 tech,$32.41
new jersey resources,$3.82 b,usa,19.55%,#2796,0.34%,,$39.88
one gas,$3.82 b,usa,-10.98%,#2798,0.85%,,$71.30
groupe lagardère,$3.81 b,france,15.22%,#2799,-0.41%,📰 media/press entertainment,$27.24
taisho pharmaceutical,$3.80 b,japan,-16.72%,#2800,-1.09%,💊 pharmaceuticals🧬 biotech,$47.72
tlg immobilien,$3.80 b,germany,31.91%,#2801,0.00%,,$33.94
xerox,$3.80 b,usa,-7.87%,#2803,1.19%,,$21.31
blackbaud,$3.80 b,usa,39.10%,#2802,0.88%,👩‍💻 software👩‍💻 tech,$79.02
hatsun agro products,$3.79 b,india,59.56%,#2804,-0.54%,🍴 food🥛 dairy companies,$17.63
macerich,$3.79 b,usa,45.54%,#2805,0.31%,🏘️ reits🏠 real estate💰 investment,$17.83
outfront media,$3.79 b,usa,27.90%,#2806,0.52%,➡️ advertising,$26.04
duck creek technologies,$3.77 b,usa,n/a,#2807,1.24%,👩‍💻 software👩‍💻 tech,$28.58
shimao property,$3.77 b,hong kong,-65.51%,#2808,-5.40%,🏠 real estate,$1.03
kerry properties,$3.77 b,hong kong,3.33%,#2809,-1.46%,🏠 real estate💰 investment,$2.59
duolingo,$3.76 b,usa,n/a,#2810,1.09%,🎓 education🖥️ internet,$100.54
world wrestling entertainment,$3.76 b,usa,11.16%,#2811,1.95%,entertainment📰 media/press,$49.66
vizio,$3.75 b,usa,n/a,#2812,1.50%,👩‍💻 tech💻 tech hardware🔌 electronics,$20.04
resideo technologies,$3.75 b,usa,38.49%,#2813,0.15%,,$26.02
amtrust financial services,$3.75 b,usa,-5.94%,#2814,0.00%,,$19.00
3m india,$3.75 b,india,16.86%,#2815,-0.26%,,$333.02
dmg mori,$3.74 b,germany,2.56%,#2816,0.00%,,$47.44
live oak bank,$3.74 b,usa,103.26%,#2817,1.03%,🏦 banks💳 financial services,$86.27
coursera,$3.74 b,usa,n/a,#2818,0.85%,🎓 education🖥️ internet,$26.63
yamana gold,$3.74 b,canada,-30.24%,#2819,-0.40%,⛏️ mining,$3.89
23andme,$3.74 b,usa,n/a,#2820,2.40%,🧬 biotech👩‍💻 software👩‍💻 tech,$8.55
darktrace,$3.73 b,uk,n/a,#2821,-2.36%,👩‍💻 software👩‍💻 tech🔒 it security,$534.62
boot barn holdings,$3.73 b,usa,203.69%,#2822,-0.56%,👟 footwear👚 clothing,$126.20
cie automotive,$3.73 b,spain,30.30%,#2823,1.20%,🚘 automotive suppliers,$30.47
arvinas,$3.72 b,usa,192.42%,#2824,-2.23%,🧬 biotech💊 pharmaceuticals,$70.53
nova measuring instruments,$3.72 b,israel,89.44%,#2825,1.38%,,$130.75
laurus labs,$3.72 b,india,57.15%,#2826,2.01%,💊 pharmaceuticals,$6.94
atco,$3.72 b,canada,5.87%,#2827,0.34%,⚡ energy🚰 utility companies🔋 electricity🛢 oil&gas,$32.62
qt group,$3.72 b,finland,155.43%,#2828,0.76%,👩‍💻 software👩‍💻 tech,$149.99
skillz,$3.71 b,usa,n/a,#2829,-0.11%,🎮 video games entertainment,$9.11
banco sabadell,$3.71 b,spain,61.43%,#2830,-1.86%,🏦 banks💳 financial services,$0.67
gatx,$3.70 b,usa,21.66%,#2831,-0.03%,,$104.50
guoco,$3.70 b,hong kong,-10.00%,#2832,-0.34%,💰 investment,$11.27
ionq,$3.70 b,usa,n/a,#2833,3.44%,👩‍💻 tech💻 tech hardware👩‍💻 software,$19.25
investors bancorp,$3.70 b,usa,51.36%,#2834,-0.63%,🏦 banks💳 financial services,$14.94
radian group,$3.69 b,usa,3.50%,#2835,-0.39%,,$20.62
tripadvisor,$3.69 b,usa,-8.95%,#2836,-0.04%,🌴 online travel🖥️ internet,$26.75
acadia pharmaceuticals,$3.68 b,usa,-56.77%,#2837,1.37%,,$22.93
allison transmission,$3.67 b,usa,-20.80%,#2838,1.52%,,$35.29
merit medical,$3.67 b,usa,14.25%,#2839,1.35%,,$65.16
bankunited,$3.67 b,usa,27.51%,#2840,-0.36%,,$41.20
alliance data,$3.66 b,usa,-2.01%,#2841,0.34%,💳 financial services,$73.68
metsä board,$3.66 b,finland,12.68%,#2842,2.76%,📄 pulp and paper,$10.93
group 1 automotive,$3.66 b,usa,59.56%,#2843,0.28%,,$202.57
magnolia oil & gas,$3.65 b,usa,168.43%,#2844,-0.94%,🛢 oil&gas ⚡ energy,$20.13
olo,$3.65 b,usa,n/a,#2844,0.15%,🥡 food delivery🍴 food🖥️ internet👩‍💻 software👩‍💻 tech,$24.13
sunnova,$3.65 b,usa,-16.84%,#2845,1.83%,🌞 renewable energy ⚡ energy🔋 electricity,$32.59
jbg smith,$3.65 b,usa,-10.76%,#2847,-0.74%,,$28.14
vienna insurance group,$3.64 b,austria,24.32%,#2848,0.60%,🏦 insurance,$28.46
norbord,$3.64 b,canada,-0.19%,#2849,-2.73%,,$43.13
nws holdings,$3.64 b,hong kong,-0.67%,#2850,-1.36%,🏙 conglomerate💼 professional services🛣️ infrastructure,$0.93
c3 ai,$3.62 b,usa,-65.30%,#2856,7.51%,👩‍💻 software👩‍💻 tech,$34.50
hain celestial,$3.63 b,usa,1.52%,#2854,0.36%,🍴 food,$39.11
extended stay america,$3.63 b,usa,44.49%,#2852,0.00%,,$20.46
pacific premier bancorp,$3.63 b,usa,29.20%,#2853,-0.49%,,$38.53
alkermes,$3.63 b,ireland,21.85%,#2855,0.42%,💊 pharmaceuticals🧬 biotech,$22.46
hillenbrand,$3.63 b,usa,26.62%,#2851,0.16%,,$50.36
american states water,$3.61 b,usa,28.44%,#2857,0.98%,,$97.97
nelnet,$3.61 b,usa,33.82%,#2858,0.79%,,$94.55
gujarat fluorochemicals,$3.61 b,india,323.29%,#2860,1.53%,🧪 chemicals,$32.87
ruchi soya,$3.60 b,india,34.12%,#2861,0.82%,🍴 food,$12.20
ssr mining,$3.61 b,canada,-10.01%,#2859,-0.58%,,$17.07
comgás,$3.59 b,brazil,-2.36%,#2862,-10.27%,🚰 utility companies,$27.99
california resources corporation,$3.58 b,usa,111.33%,#2867,-0.47%,⚡ energy🛢 oil&gas,$44.57
healthequity,$3.59 b,usa,-35.27%,#2863,2.09%,,$42.95
apple hospitality reit,$3.58 b,usa,21.17%,#2864,-1.26%,,$15.71
cogent communications,$3.58 b,usa,27.49%,#2865,-0.04%,,$75.20
artisan partners,$3.58 b,usa,-7.38%,#2866,0.39%,,$45.36
spx flow,$3.58 b,usa,47.32%,#2868,0.48%,,$85.34
simply good foods,$3.57 b,usa,50.03%,#2869,0.89%,🍴 food,$37.35
evertec,$3.57 b,usa,26.65%,#2870,-1.04%,,$49.71
tohoku electric power,$3.57 b,japan,-5.70%,#2871,0.12%,🔋 electricity🚰 utility companies ⚡ energy,$7.15
oberbank,$3.56 b,austria,n/a,#2872,0.00%,,$101.01
insight enterprises,$3.56 b,usa,39.04%,#2873,1.07%,,$102.22
california water service,$3.56 b,usa,32.40%,#2876,0.64%,,$67.74
royal boskalis westminster,$3.56 b,netherlands,23.97%,#2874,-0.89%,,$27.56
garantibank,$3.56 b,turkey,27.80%,#2877,-1.10%,🏦 banks💳 financial services,$0.85
tronox,$3.55 b,usa,64.37%,#2879,-0.22%,🧪 chemicals,$23.11
cummins india,$3.55 b,india,60.47%,#2878,2.96%,,$12.83
nantkwest,$3.55 b,usa,216.36%,#2881,14.89%,💊 pharmaceuticals🧬 biotech,$32.49
sana biotechnology,$3.53 b,usa,n/a,#2887,4.46%,💊 pharmaceuticals🧬 biotech,$18.74
minda industries,$3.54 b,india,136.12%,#2882,3.64%,,$12.42
rural electrification corp,$3.54 b,india,0.66%,#2883,-0.37%,,$1.80
prosiebensat.1 media,$3.54 b,germany,3.63%,#2884,1.28%,📰 media/press entertainment,$15.68
hypoport,$3.54 b,germany,6.12%,#2885,-0.99%,,$562.46
weber,$3.56 b,usa,n/a,#2875,1.14%,,$12.41
ima group,$3.54 b,italy,0.07%,#2886,0.00%,⚙️ machinery manufacturing,$82.14
epr properties,$3.53 b,usa,34.78%,#2888,1.07%,,$47.24
grupo simec,$3.55 b,mexico,150.38%,#2880,-1.97%,,$22.85
matson,$3.51 b,usa,42.18%,#2891,0.13%,,$83.74
e2open,$3.52 b,usa,n/a,#2890,0.47%,👩‍💻 software👩‍💻 tech,$11.75
dorman products,$3.52 b,usa,12.68%,#2889,0.71%,🚘 automotive suppliers,$111.61
tietoevry,$3.51 b,finland,0.77%,#2892,0.31%,👩‍💻 software💼 professional services👩‍💻 tech,$29.66
altra industrial motion,$3.50 b,usa,-0.63%,#2893,0.30%,,$54.01
o2 czech republic,$3.50 b,czech republic,8.78%,#2894,0.79%,📡 telecommunication,$11.57
indian energy exchange,$3.49 b,india,23.47%,#2895,9.41%,,$3.89
first hawaiian bank,$3.49 b,usa,17.39%,#2896,-0.22%,,$27.15
gmr group,$3.49 b,india,59.45%,#2898,0.00%,,$0.58
şişecam,$3.49 b,turkey,119.06%,#2897,2.53%,,$1.14
comfort systems,$3.48 b,usa,85.92%,#2900,0.25%,,$96.79
antarchile,$3.48 b,chile,-6.64%,#2901,-0.03%,,$7.64
federated hermes,$3.48 b,usa,20.90%,#2902,0.36%,,$35.99
springworks therapeutics,$3.48 b,usa,7.60%,#2903,-1.31%,💊 pharmaceuticals🧬 biotech,$70.72
newmark,$3.48 b,usa,123.11%,#2904,2.82%,🏠 real estate💼 professional services,$16.38
jk cement,$3.48 b,india,66.59%,#2905,0.50%,cement🧱 building materials,$45.05
atul,$3.47 b,india,48.76%,#2906,-2.05%,🧪 chemicals,$117.40
parsons,$3.46 b,usa,-7.73%,#2907,0.39%,,$33.89
k+s,$3.45 b,germany,99.18%,#2908,1.46%,,$18.08
krones,$3.45 b,germany,51.53%,#2909,-0.21%,,$108.54
red rock resorts,$3.45 b,usa,103.78%,#2910,1.23%,,$50.23
sogou,$3.45 b,china,6.29%,#2911,0.11%,🖥️ internet👩‍💻 tech,$8.95
kirby corporation,$3.45 b,usa,6.38%,#2912,-1.01%,transportation 🚢 maritime transportation,$57.43
bata india,$3.44 b,india,26.66%,#2913,2.35%,👟 footwear,$26.81
ipca laboratories,$3.44 b,india,-9.89%,#2914,1.25%,💊 pharmaceuticals,$27.13
corvel corporation,$3.44 b,usa,107.74%,#2915,-0.57%,⚕️ healthcare,$194.31
casio,$3.44 b,japan,-26.76%,#2916,0.97%,,$139.39
simmons first national,$3.43 b,usa,40.49%,#2917,-0.13%,,$29.94
fonterra,$3.42 b,new zealand,-27.21%,#2918,-0.32%,🍴 food,$2.12
atlas corp,$3.42 b,canada,25.43%,#2919,-0.29%,,$13.87
tal education group,$3.42 b,china,-92.51%,#2920,-0.49%,🎓 education,$5.06
fluor corporation,$3.42 b,usa,31.63%,#2921,0.73%,,$24.19
essential properties realty trust,$3.41 b,usa,31.80%,#2922,1.30%,,$28.13
aerojet rocketdyne,$3.41 b,usa,6.64%,#2923,-0.21%,🚀 aerospace 🏭 manufacturing,$42.45
mainova,$3.41 b,germany,n/a,#2924,0.00%,🚰 utility companies ⚡ energy🔋 electricity,$621.19
karuna therapeutics,$3.41 b,usa,19.58%,#2925,-0.30%,💊 pharmaceuticals,$115.28
kemper,$3.41 b,usa,-32.12%,#2926,0.17%,,$53.58
diagnosticos da america,$3.40 b,brazil,-52.79%,#2927,0.46%,⚕️ healthcare,$6.21
ameris bancorp,$3.40 b,usa,29.96%,#2928,-0.39%,,$48.87
rent-a-center,$3.40 b,usa,45.33%,#2929,1.38%,,$51.42
tianjin faw,$3.38 b,china,-15.29%,#2930,-1.11%,🚘 automotive suppliers,$0.56
allegiant air,$3.38 b,usa,7.33%,#2931,-2.12%,✈️ airlines🌴 travel,$186.96
assured guaranty,$3.38 b,bermuda,56.49%,#2932,-0.19%,🏦 insurance,$48.39
cathay general bancorp,$3.37 b,usa,44.95%,#2933,0.54%,,$43.74
one medical,$3.37 b,usa,-53.35%,#2934,2.32%,,$17.66
welbilt,$3.37 b,usa,111.63%,#2935,0.11%,,$23.69
viasat,$3.36 b,usa,33.70%,#2936,-1.66%,,$45.89
liveramp,$3.36 b,usa,-27.95%,#2937,1.46%,,$49.49
alfamart,$3.36 b,indonesia,59.46%,#2938,-1.27%,🛍️ retail,$0.08
enlink midstream,$3.35 b,usa,73.25%,#2939,-0.65%,,$6.89
zentalis pharmaceuticals,$3.35 b,usa,38.45%,#2940,3.49%,💊 pharmaceuticals🧬 biotech,$74.15
six flags,$3.35 b,usa,18.39%,#2941,0.49%,,$39.07
formfactor,$3.35 b,usa,-0.47%,#2942,0.51%,,$42.94
bi̇m birleşik mağazalar,$3.34 b,turkey,9.11%,#2943,2.94%,🛍️ retail,$5.57
american equity investment life holding,$3.34 b,usa,31.20%,#2944,-0.37%,🏦 insurance,$36.20
arconic,$3.34 b,usa,-2.42%,#2945,5.28%,,$31.42
navient,$3.34 b,usa,116.32%,#2946,0.34%,,$20.75
nordstrom,$3.34 b,usa,-33.95%,#2947,-0.38%,,$20.97
mayora,$3.33 b,indonesia,-10.95%,#2948,0.00%,,$0.14
escorts limited,$3.32 b,india,33.80%,#2949,-0.56%,,$24.63
endurance technologies,$3.31 b,india,53.22%,#2950,-0.18%,,$23.59
axos financial,$3.31 b,usa,57.14%,#2951,-0.36%,🏦 banks💳 financial services,$55.71
tofaş türk otomobil fabrikası,$3.31 b,turkey,201.60%,#2952,-0.70%,,$6.63
mueller industries,$3.31 b,usa,69.41%,#2953,0.25%,,$57.74
bank of hawaii,$3.31 b,usa,3.85%,#2954,0.05%,,$82.26
cryoport,$3.30 b,usa,26.61%,#2955,1.30%,,$67.04
ffp,$3.30 b,france,20.00%,#2956,0.00%,💰 investment,$133.79
helios technologies,$3.30 b,usa,107.52%,#2957,0.13%,,$102.00
associated banc-corp,$3.30 b,usa,35.63%,#2958,-0.94%,,$22.02
indian hotels company,$3.30 b,india,54.59%,#2959,0.12%,🏨 hotels,$2.69
instructure holdings,$3.29 b,usa,n/a,#2960,-0.30%,🎓 education👩‍💻 software👩‍💻 tech,$23.50
atricure,$3.29 b,usa,48.49%,#2961,2.18%,,$71.84
vale indonesia,$3.29 b,indonesia,-4.48%,#2962,-0.63%,,$0.33
prospect capital,$3.29 b,usa,55.62%,#2963,0.12%,💰 investment,$8.46
allete,$3.29 b,usa,4.73%,#2964,0.76%,🚰 utility companies🔋 electricity,$62.72
lenzing,$3.29 b,austria,47.24%,#2965,-0.18%,,$123.33
kuka,$3.28 b,germany,89.56%,#2966,0.00%,,$82.00
cobank,$3.28 b,usa,-1.39%,#2967,0.00%,,$101.40
advanced energy,$3.28 b,usa,-9.75%,#2968,-0.84%,,$87.17
copa holdings,$3.28 b,panama,-9.53%,#2969,1.31%,✈️ airlines🌴 travel,$77.26
rosseti,$3.28 b,russia,-28.16%,#2970,-0.08%,,$0.02
