"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"VICINITY CENTRES","3,025","897 Million USD","-1,333 Million USD","5.617 Billion USD","Australia","Property Investments, Commercial Properties, Real Estate","1,200","ASX 100","","ASX","https://www.vicinity.com.au/"
"ABBOTT INDIA","3,026","560 Million USD","90 Million USD","4.578 Billion USD","India","HealthCare Products, Pharmaceutical, Healthcare","107,000","S&P BSE HEALTH CARE","","NSE, BSE","https://www.vicinity.com.au/"
"AIRTAC INTERNATIONAL GROUP","3,027","688 Million USD","174 Million USD","6.058 Billion USD","Taiwan","Machinery Manufacturing, Manufacturing, Industries","","","","Taiwan","https://www.vicinity.com.au/"
"BIOCON","3,028","807 Million USD","105 Million USD","7.644 Billion USD","India","Pharmaceutical, Biopharmaceutical, Healthcare","12,000","S&P BSE HEALTH CARE, BSE-100 Index","","NSE, BSE","https://www.vicinity.com.au/"
"LUXI CHEMICAL GROUP","3,029","2,639 Million USD","124 Million USD","2.866 Billion USD","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.vicinity.com.au/"
"FABEGE AB (PUBL)","3,031","337 Million USD","380 Million USD","5.135 Billion USD","Sweden","Financial Services, Commercial Properties, Real Estate","","","","Stockholm","https://www.vicinity.com.au/"
"JAFRON BIOMEDICAL","3,032","293 Million USD","131 Million USD","8.296 Billion USD","China","Medical Equipment, Healthcare","1,895","","","Shenzhen","https://www.vicinity.com.au/"
"ACADIA HEALTHCARE COMPANY","3,033","2,089 Million USD","-672 Million USD","4.473 Billion USD","USA","Healthcare Service, Hospitals, Healthcare","42,000","","","Nasdaq","https://www.vicinity.com.au/"
"TOSOH CORPORATION","3,034","7,153 Million USD","500 Million USD","4.967 Billion USD","Japan","Chemicals, Petrochemicals, Basic Materials","13,336","NIKKEI 225","","Tokyo","https://www.vicinity.com.au/"
"IA FINANCIAL CORPORATION","3,035","14,016 Million USD","499 Million USD","4.637 Billion USD","Canada","Insurance, Financial Services","7,600","","","TSX, Frankfurt","https://www.vicinity.com.au/"
"ASTRAL LIMITED","3,036","444 Million USD","57 Million USD","","India","Building Products and Equipment, Plumbing Materials, Industries","","","","NSE","https://www.astralpipes.com/"
"HERBALIFE NUTRITION","3,037","5,542 Million USD","373 Million USD","5.844 Billion USD","USA","HealthCare Products, FMCG, Consumer Defensive","9,500","","","NYSE","https://www.astralpipes.com/"
"PIVOTAL SOFTWARE","3,038","","","","USA","Software and IT, Software Products, Technology","","","","Frankfurt, NYSE","https://www.astralpipes.com/"
"ASGN","3,038","3,950 Million USD","200 Million USD","4.419 Billion USD","USA","Technology, Professional Services, Industries","4,300","","","Frankfurt, NYSE","https://www.astralpipes.com/"
"LUNDIN MINING CORPORATION","3,039","2,041 Million USD","169 Million USD","6.531 Billion USD","Canada","Mining, Metals, Basic Materials","4,170","","","Stockholm, TSX","https://www.astralpipes.com/"
"QINGDAO HAIER BIOMEDICAL","3,040","210 Million USD","57 Million USD","","China","Consumer Durables, Consumer Goods, Healthcare","","","","Shanghai","https://www.astralpipes.com/"
"REYNOLDS CONSUMER PRODUCTS INC.","3,041","3,263 Million USD","363 Million USD","6.299 Billion USD","USA","Packaging Materials, Packaging, Kitchen Appliances","5,450","","","Nasdaq","https://www.astralpipes.com/"
"KERRY LOGISTICS NETWORK","3,042","6,937 Million USD","376 Million USD","3.941 Billion USD","Hong Kong","Logistics, Freight Transport, Industries","43,600","","","HKeX","https://www.astralpipes.com/"
"RABIGH REFINING AND PETROCHEMICAL COMPANY","3,043","5,905 Million USD","-1,021 Million USD","3.228 Billion USD","Saudi Arabia","Petrochemicals, Oil and Gas, Energy","","","","Tadawul","https://www.astralpipes.com/"
"NCINO, INC.","3,044","204 Million USD","-41 Million USD","6.683 Billion USD","USA","Software and IT, Technology","934","","","Nasdaq","https://www.astralpipes.com/"
"NANJING SECURITIES","3,045","345 Million USD","121 Million USD","6.924 Billion USD","China","Securities, Brokerage Services, Financial Services","","","","Shanghai","https://www.njzq.com.cn/"
"MAGELLAN FINANCIAL GROUP","3,046","512 Million USD","293 Million USD","7.579 Billion USD","Australia","Asset Management, Financial Services","131","ASX 100","","ASX","https://www.njzq.com.cn/"
"LHC GROUP","3,047","2,063 Million USD","112 Million USD","6.739 Billion USD","USA","HealthCare Products, Hospitals, Healthcare","30,400","","","Frankfurt, Nasdaq","https://www.njzq.com.cn/"
"CENTURIA CAPITAL GROUP","3,048","92 Million USD","16 Million USD","1.214 Billion USD","Australia","Asset Management, Financial Services","","","","ASX","https://www.njzq.com.cn/"
"JSW ENERGY","3,049","900 Million USD","105 Million USD","1.508 Billion USD","India","Electricity Generation, Utilities","4,742","S&P BSE UTILITIES","","NSE, BSE","https://www.njzq.com.cn/"
"SHANGHAI TOFFLON SCIENCE AND TECHNOLOGY","3,050","","","1.553 Billion USD","China","Medical Equipment, Healthcare","","","","Shenzhen","https://www.njzq.com.cn/"
"WYNN MACAU","3,051","7,612 Million USD","-7,216 Million USD","8.727 Billion USD","Macao","Hotels, Consumer Cyclical","","","","HKeX","https://www.njzq.com.cn/"
"WESCO INTERNATIONAL","3,052","12,326 Million USD","100 Million USD","3.928 Billion USD","USA","Telecom, Consumer Non Durables, Industries","9,500","","","Frankfurt, NYSE","https://www.njzq.com.cn/"
"OSRAM LICHT AG","3,053","3,586 Million USD","-221 Million USD","6.100 Billion USD","Germany","Electrical Products, Lighting Products, Industries","21,400","","","Frankfurt, Deutsche Borse","https://www.njzq.com.cn/"
"OZ MINERALS","3,054","993 Million USD","157 Million USD","4.809 Billion USD","Australia","Mining, Gold Mining, Basic Materials","3,128","ASX 100","","Frankfurt, ASX","https://www.njzq.com.cn/"
"INGREDION","3,055","5,987 Million USD","348 Million USD","5.270 Billion USD","USA","FMCG, Food Products, Consumer Defensive","11,000","","","NYSE","https://www.ingredion.com/"
"GELSENWASSER AG","3,056","2,287 Million USD","139 Million USD","5.944 Billion USD","Germany","Water Utilities, Electric Utilities, Utilities","","","","Frankfurt","https://www.ingredion.com/"
"WALLENSTAM AB (PUBL)","3,057","256 Million USD","229 Million USD","5.102 Billion USD","Sweden","Real Estate","","","","Stockholm","https://www.ingredion.com/"
"ANHUI YINGJIA DISTILLERY","3,058","518 Million USD","143 Million USD","4.274 Billion USD","China","Alcoholic Beverages, Beverages, Consumer Defensive","","","","Shanghai","https://www.ingredion.com/"
"CONTAINER CORPORATION OF INDIA","3,059","836 Million USD","61 Million USD","3.362 Billion USD","India","Rail Transport, Transportation, Industries","1,426","S&P BSE PSU, S&P BSE CPSE, S&P BSE INDUSTRIALS, BSE-100 Index","","NSE, BSE","https://www.ingredion.com/"
"CAITONG SECURITIES","3,060","882 Million USD","344 Million USD","6.949 Billion USD","China","Investments, Securities, Financial Services","","","","Shanghai","https://www.ingredion.com/"
"IBERIABANK CORPORATION","3,061","","","","USA","Banking Services, Financial Services","","","","Nasdaq","https://www.ingredion.com/"
"DR. MARTENS PLC","3,061","1,061 Million USD","49 Million USD","","UK","Footwear","","","","LSE","https://www.ingredion.com/"
"IRIDIUM COMMUNICATIONS","3,062","583 Million USD","-56 Million USD","5.242 Billion USD","USA","Telecom, Consumer Durables, Communication Services","522","","","Nasdaq","https://www.ingredion.com/"
"COMMERCIAL INTERNATIONAL BANK -EGYPT","3,063","1,822 Million USD","588 Million USD","5.521 Billion USD","Egypt","Banking Services, Financial Services","","","","","https://www.ingredion.com/"
"FOOT LOCKER","3,064","7,548 Million USD","323 Million USD","4.214 Billion USD","USA","Consumer Cyclical, Apparels and Accessories, Retail","15,470","","","NYSE","https://www.footlocker-inc.com/"
"TELEKOM AUSTRIA AG","3,065","5,267 Million USD","458 Million USD","5.119 Billion USD","Austria","Telecom, Mobile Services, Communication Services","18,000","","","Vienna","https://www.footlocker-inc.com/"
"HUNTSMAN CORPORATION","3,066","6,018 Million USD","1,034 Million USD","5.551 Billion USD","USA","Chemicals, Adhesives, Basic Materials","9,000","","","Frankfurt, NYSE","https://www.footlocker-inc.com/"
"THULE GROUP AB (PUBL)","3,067","939 Million USD","140 Million USD","3.890 Billion USD","Sweden","Consumer Goods, Sports Goods, Consumer Cyclical","","","","Stockholm","https://www.footlocker-inc.com/"
"SEAZEN GROUP","3,068","21,918 Million USD","1,527 Million USD","","China","Construction, Asset Management, Real Estate","","","","HKeX, Shanghai","https://www.footlocker-inc.com/"
"HUANENG RENEWABLES CORPORATION","3,068","","","","China","Utilities","","","","","https://www.footlocker-inc.com/"
"DERWENT LONDON","3,069","253 Million USD","381 Million USD","4.740 Billion USD","UK","Property Investments, Commercial Properties, Real Estate","","","","LSE, Frankfurt","https://www.footlocker-inc.com/"
"NINESTAR CORPORATION","3,070","2,938 Million USD","13 Million USD","4.396 Billion USD","China","Semiconductors, Processors / Chips, Technology","","","","Shenzhen","https://www.footlocker-inc.com/"
"MCKESSON EUROPE AG","3,071","20,198 Million USD","-291 Million USD","6.490 Billion USD","Germany","Retail, Pharmaceutical, Healthcare","80,000","","","LSE","https://www.footlocker-inc.com/"
"VICTORIA'S SECRET & CO.","3,072","5,413 Million USD","-72 Million USD","","USA","Retail, Consumer Cyclical","","","","","https://www.footlocker-inc.com/"
"SOFTCAT","3,073","1,486 Million USD","104 Million USD","3.733 Billion USD","UK","Software and IT, Technology","1,500","","","LSE, Frankfurt","https://www.softcat.com/"
"TUYA INC.","3,074","180 Million USD","-67 Million USD","","China","Cloud Services, Internet of Things, Software and IT","","","","NYSE","https://www.softcat.com/"
"BRIGHT HEALTH GROUP INC.","3,075","1,207 Million USD","-248 Million USD","","USA","Insurance, Financial Services","","","","NYSE","https://www.softcat.com/"
"SHANGHAI MEDICILON","3,076","100 Million USD","19 Million USD","1.492 Billion USD","China","Biotechnology, Healthcare","","","","Shanghai","https://www.softcat.com/"
"MOSCOW EXCHANGE MICEX-RTS","3,077","680 Million USD","352 Million USD","4.904 Billion USD","Russia","Stock Markets, Trading, Capital Markets, Financial Services","","","","Russia","https://www.softcat.com/"
"BGI GENOMICS","3,078","1,260 Million USD","314 Million USD","7.873 Billion USD","China","Scientific Research Products, Research, Healthcare","3,585","","","Shenzhen","https://www.softcat.com/"
"YANTAI JEREH OILFIELD SERVICES GROUP","3,079","1,244 Million USD","254 Million USD","5.132 Billion USD","China","Oil and Gas, Oil Field Services, Energy","4,990","","","Shenzhen","https://www.softcat.com/"
"APELOA PHARMACEUTICAL","3,080","1,182 Million USD","123 Million USD","4.200 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","5,719","","","Shenzhen","https://www.softcat.com/"
"NEW YORK COMMUNITY BANCORP","3,081","1,769 Million USD","511 Million USD","4.894 Billion USD","USA","Banking Services, Financial Services","2,786","","","Frankfurt, NYSE","https://www.softcat.com/"
"ENGIE BRASIL ENERGIA","3,082","2,314 Million USD","531 Million USD","6.902 Billion USD","Brazil","Electric Utilities, Power Generation, Utilities","","","","Bovespa Brazil","https://www.softcat.com/"
"JUEWEI FOOD","3,083","791 Million USD","105 Million USD","7.224 Billion USD","China","Food Products, Meat / Poultry / Fish / Chicken, Consumer Defensive","","","","Shanghai","https://www.juewei.cn/"
"ORIGIN ENERGY","3,084","9,567 Million USD","61 Million USD","6.445 Billion USD","Australia","Utilities, Gas Utilities, Energy","5,360","ASX 100","","ASX","https://www.juewei.cn/"
"DOUGLAS EMMETT","3,085","891 Million USD","49 Million USD","5.117 Billion USD","USA","Consumer Services, Property Investments, Real Estate","713","","","Frankfurt, NYSE","https://www.juewei.cn/"
"RIT CAPITAL PARTNERS","3,086","755 Million USD","695 Million USD","4.428 Billion USD","UK","Wealth Management, Asset Management, Investments","","","","LSE","https://www.juewei.cn/"
"ADDTECH AB (PUBL.)","3,087","1,360 Million USD","85 Million USD","3.720 Billion USD","Sweden","Marketing Services, Technology, Industries","3,000","","","Stockholm, Frankfurt","https://www.juewei.cn/"
"OIL SEARCH","3,088","1,224 Million USD","-375 Million USD","5.927 Billion USD","Papua New Guinea","Oil and Gas, Energy","","ASX 100","","Frankfurt, ASX","https://www.juewei.cn/"
"TRAVELSKY TECHNOLOGY","3,089","823 Million USD","54 Million USD","7.058 Billion USD","China","Travel and Transport, Aviation, Technology","7,233","","","HKeX","https://www.juewei.cn/"
"BOSCH","3,090","1,263 Million USD","62 Million USD","5.242 Billion USD","India","Automobile, Automobile Parts, Consumer Cyclical","398,150","S&P BSE AUTO, S&P BSE CDGS, BSE-100 Index","","NSE, BSE","https://www.juewei.cn/"
"NVENT ELECTRIC","3,091","1,998 Million USD","-47 Million USD","3.962 Billion USD","UK","Technology, Machinery Manufacturing, Industries","9,500","","","NYSE","https://www.juewei.cn/"
"HUAXIN CEMENT","3,092","4,404 Million USD","845 Million USD","5.892 Billion USD","China","Cement, Construction Materials, Basic Materials","","","","Shanghai","https://www.juewei.cn/"
"WATTS WATER TECHNOLOGIES","3,093","1,508 Million USD","114 Million USD","4.094 Billion USD","USA","Metal Fabrication Products, Capital Goods, Industries","4,800","","","Frankfurt, NYSE","https://www.watts.com"
"TIANFENG SECURITIES","3,094","630 Million USD","68 Million USD","6.224 Billion USD","China","Brokerage Services, Investments, Financial Services","","","","Shanghai","https://www.watts.com"
"HELEN OF TROY","3,095","2,099 Million USD","254 Million USD","5.633 Billion USD","USA","Consumer Durables, FMCG, Consumer Defensive","1,650","","","Frankfurt, NYSE, Nasdaq","https://www.watts.com"
"SAVOLA GROUP COMPANY","3,096","5,859 Million USD","246 Million USD","6.052 Billion USD","Saudi Arabia","Food Products, Retail, Consumer Defensive","26,000","","","Tadawul","https://www.watts.com"
"COUSINS PROPERTIES","3,097","740 Million USD","237 Million USD","4.977 Billion USD","USA","Consumer Services, Investments, Real Estate","316","","","Frankfurt, NYSE","https://www.watts.com"
"FUJIAN ANJOY FOODS","3,098","1,045 Million USD","91 Million USD","6.987 Billion USD","China","FMCG, Package Foods, Consumer Defensive","","","","Shanghai","https://www.watts.com"
"ORBIA ADVANCE CORPORATION","3,099","321 Million USD","10 Million USD","4.742 Billion USD","Mexico","Chemicals, Fertilizers, Basic Materials","","","","Mexico","https://www.watts.com"
"KCE ELECTRONICS PUBLIC COMPANY","3,100","346 Million USD","34 Million USD","1.630 Billion USD","Thailand","Electronics, Capital Goods, Technology","","","","Frankfurt","https://www.watts.com"
"HOME PRODUCT CENTER PUBLIC COMPANY","3,101","1,796 Million USD","155 Million USD","6.006 Billion USD","Thailand","Retail, Home Improvement, Consumer Cyclical","","","","Thailand","https://www.watts.com"
"MAPLETREE INDUSTRIAL TRUST","3,102","331 Million USD","122 Million USD","5.141 Billion USD","Singapore","Property Investments, Real Estate","","","","Singapore","https://www.watts.com"
"DIRECT LINE INSURANCE GROUP","3,103","4,119 Million USD","575 Million USD","5.903 Billion USD","UK","Insurance, Financial Services","10,762","S&P EUROPE 350","","LSE, Frankfurt","https://www.directlinegroup.co.uk/"
"SHANGHAI LINGANG HOLDINGS","3,104","589 Million USD","212 Million USD","6.252 Billion USD","China","Construction, Rent / Lease Services, Real Estate","","","","Shanghai","https://www.directlinegroup.co.uk/"
"INMOBILIARIA COLONIAL SOCIMI","3,105","403 Million USD","3 Million USD","4.934 Billion USD","Spain","Property Investments, Construction, Real Estate","","","","MCE","https://www.directlinegroup.co.uk/"
"DOUBLEVERIFY HOLDINGS, INC.","3,106","244 Million USD","20 Million USD","","USA","Software and IT","","","","NYSE","https://www.directlinegroup.co.uk/"
"SLM CORPORATION","3,107","2,353 Million USD","881 Million USD","4.649 Billion USD","USA","Financial Services","1,600","","","Frankfurt, Nasdaq","https://www.directlinegroup.co.uk/"
"L&T TECHNOLOGY SERVICES","3,108","708 Million USD","87 Million USD","3.462 Billion USD","India","Software and IT, Engineering Services, Technology","19,000","S&P BSE SOFTWARE and IT","","NSE, BSE","https://www.directlinegroup.co.uk/"
"APELLIS PHARMACEUTICALS","3,109","250 Million USD","-345 Million USD","4.332 Billion USD","USA","Pharmaceutical, HealthCare Products, Healthcare","235","","","Frankfurt, Nasdaq","https://www.directlinegroup.co.uk/"
"OWL ROCK CAPITAL CORPORATION","3,110","650 Million USD","388 Million USD","4.937 Billion USD","USA","Provides Loans, Financial Services","18","","","NYSE","https://www.directlinegroup.co.uk/"
"DONGGUAN YIHEDA AUTOMATION CO., LTD.","3,111","181 Million USD","41 Million USD","","China","Tools and Equipment, Industries","","","","Shenzhen","https://www.directlinegroup.co.uk/"
"JARDINE CYCLE & CARRIAGE","3,112","13,234 Million USD","540 Million USD","","Singapore","Investments, Automobile, Consumer Cyclical","250,000","","","Singapore, Frankfurt","https://www.directlinegroup.co.uk/"
"A-LIVING SERVICES","3,113","1,504 Million USD","263 Million USD","5.916 Billion USD","China","Investments, Asset Management, Real Estate","55,888","","","HKeX","http://www.agileliving.com.cn/"
"AXFOOD AB (PUBL)","3,114","6,444 Million USD","229 Million USD","4.853 Billion USD","Sweden","Consumer Services, Retail, Consumer Defensive","","","","Stockholm","http://www.agileliving.com.cn/"
"MAREL","3,115","1,447 Million USD","120 Million USD","4.529 Billion USD","Iceland","Food Products, Meat / Poultry / Fish / Chicken, Industries","","","","EURONEXT","http://www.agileliving.com.cn/"
"ORION OYJ","3,116","1,261 Million USD","257 Million USD","6.414 Billion USD","Finland","Pharmaceutical, Healthcare, Healthcare","","","","Nasdaq Nordic","http://www.agileliving.com.cn/"
"SCOR SE","3,117","18,189 Million USD","276 Million USD","5.978 Billion USD","France","Insurance, Financial Services","3,028","S&P EUROPE 350, EURONEXT 100","","Frankfurt, EURONEXT","http://www.agileliving.com.cn/"
"PANGANG GROUP VANADIUM & TITANIUM RESOURCES CO., LTD.","3,118","","","","China","Mining, Basic Materials","","","","Shenzhen","http://www.agileliving.com.cn/"
"INFRAESTRUCTURA ENERGETICA NOVA","3,119","1,009 Million USD","462 Million USD","5.742 Billion USD","Mexico","Gas Utilities, Natural Gas Distribution, Utilities","","","","Mexico, Frankfurt","http://www.agileliving.com.cn/"
"WESTERN MINING","3,120","4,283 Million USD","136 Million USD","4.516 Billion USD","China","Mining, Metals, Basic Materials","","","","Shanghai","http://www.agileliving.com.cn/"
"SUN ART RETAIL GROUP","3,121","14,304 Million USD","425 Million USD","9.696 Billion USD","China","eCommerce, Retail, Consumer Cyclical","","","","HKeX","http://www.agileliving.com.cn/"
"UNITED BREWERIES","3,122","650 Million USD","15 Million USD","4.279 Billion USD","India","Conglomerate, Real Estate, Consumer Defensive","3,207","S&P BSE FMCG","","NSE, BSE","http://www.agileliving.com.cn/"
"FAR EASTERN NEW CENTURY CORPORATION","3,123","7,444 Million USD","290 Million USD","5.517 Billion USD","Taiwan","Textile, Consumer Cyclical","","","","Taiwan","http://www.fenc.com"
"SCHAEFFLER AG","3,124","17,024 Million USD","501 Million USD","5.543 Billion USD","Germany","Automobile, Automobile Parts, Consumer Cyclical","87,700","","","Deutsche Borse, Frankfurt","http://www.fenc.com"
"GEMALTO","3,125","","","5.640 Billion USD","Netherlands","Security Systems and Solutions, Software and IT","","EURONEXT 100","","","http://www.fenc.com"
"ALLEGRO MICROSYSTEMS, INC.","3,126","591 Million USD","18 Million USD","5.050 Billion USD","USA","Semiconductors, Technology","3,720","","","Nasdaq","http://www.fenc.com"
"ALD SA","3,127","11,707 Million USD","602 Million USD","5.683 Billion USD","France","Cars, Rent / Lease Services, Industries","","","","Frankfurt, EURONEXT","http://www.fenc.com"
"WEIHAI GUANGWEI COMPOSITES","3,128","317 Million USD","96 Million USD","7.066 Billion USD","China","Chemicals, Basic Materials","1,657","","","Shenzhen","http://www.fenc.com"
"CIFI HOLDINGS (GROUP)","3,129","10,770 Million USD","1,239 Million USD","6.965 Billion USD","China","Construction, Property Investments, Real Estate","","","","HKeX, Frankfurt","http://www.fenc.com"
"RYOHIN KEIKAKU","3,130","3,265 Million USD","-305 Million USD","5.375 Billion USD","Japan","Retail, Consumer Cyclical","20,440","","","Tokyo","http://www.fenc.com"
"SEVEN GROUP HOLDINGS","3,131","3,373 Million USD","86 Million USD","6.092 Billion USD","Australia","Investments, Media, Industries","5,800","","","Frankfurt, ASX","http://www.fenc.com"
"JIANGSU YOKE TECHNOLOGY","3,132","341 Million USD","62 Million USD","4.257 Billion USD","China","Semiconductors, Technology","","","","Shenzhen","http://www.fenc.com"
"NINGBO TUOPU GROUP","3,133","977 Million USD","94 Million USD","6.206 Billion USD","China","Automobile, Automobile Parts, Consumer Cyclical","7,483","","","Shanghai","http://www.tuopu.com/"
"SHENZHEN ENERGY GROUP","3,134","3,068 Million USD","598 Million USD","4.435 Billion USD","China","Utilities","","","","Shenzhen","http://www.tuopu.com/"
"ATOS SE","3,135","13,674 Million USD","3,977 Million USD","10.112 Billion USD","France","Software and IT, Software Products, Technology","110,000","S&P EUROPE 350, CAC 40","","EURONEXT","http://www.tuopu.com/"
"HINDUSTAN PETROLEUM CORPORATION","3,136","30,181 Million USD","1,368 Million USD","4.608 Billion USD","India","Chemicals, Oil and Gas, Energy","10,352","S&P BSE OIL and GAS, S&P BSE PSU, S&P BSE CPSE, S&P BSE ENERGY, BSE-100 Index","","NSE, BSE","http://www.tuopu.com/"
"MISTER CAR WASH, INC.","3,137","575 Million USD","60 Million USD","","USA","Consumer Services, Automobile Service","","","","NYSE","http://www.tuopu.com/"
"AVIC HEAVY MACHINERY","3,138","1,005 Million USD","52 Million USD","3.596 Billion USD","China","Industry Machinery, Industries","","","","Shanghai","http://www.tuopu.com/"
"SINOPAC FINANCIAL HOLDINGS COMPANY","3,139","1,419 Million USD","441 Million USD","4.596 Billion USD","Taiwan","Banking Services, Financial Services","","","","Taiwan","http://www.tuopu.com/"
"HANGZHOU GREAT STAR INDUSTRIAL","3,140","1,282 Million USD","203 Million USD","5.120 Billion USD","China","Tools and Equipment, Industries","6,435","","","Shenzhen","http://www.tuopu.com/"
"DIALOG SEMICONDUCTOR","3,141","1,566 Million USD","301 Million USD","3.937 Billion USD","UK","Semiconductors, Electronics, Technology","","","","Deutsche Borse","http://www.tuopu.com/"
"ADVANCED DISPOSAL SERVICES","3,142","","","4.600 Billion USD","USA","Utilities, Waste and Trash Management, Industries","44,900","","","NYSE","http://www.tuopu.com/"
"OLO INC.","3,142","98 Million USD","13 Million USD","","USA","Software and IT, Online Food Delivery","","","","NYSE","https://www.olo.com/"
"SOOCHOW SECURITIES","3,143","1,088 Million USD","256 Million USD","5.857 Billion USD","China","Stock Markets, Trading, Capital Markets, Financial Services","","","","Shanghai","https://www.olo.com/"
"HYUNDAI STEEL COMPANY","3,144","15,680 Million USD","-374 Million USD","4.798 Billion USD","South Korea","Iron and Steel, Metals, Basic Materials","11,574","","","South Korea","https://www.olo.com/"
"SIMONA","3,145","460 Million USD","27 Million USD","0.358 Billion USD","Germany","Metal Fabrication Products, Industries","","","","Frankfurt","https://www.olo.com/"
"INDUSTRIAS PENOLES","3,146","4,673 Million USD","-34 Million USD","6.733 Billion USD","Mexico","Mining, Basic Materials","","","","Mexico","https://www.olo.com/"
"SHANDONG INTCO MEDICAL PRODUCTS","3,147","255 Million USD","33 Million USD","9.055 Billion USD","China","Medical Equipment, Healthcare","6,503","","","Shenzhen","https://www.olo.com/"
"ALTEN SA","3,148","2,751 Million USD","116 Million USD","3.886 Billion USD","France","Software and IT, Technology","","","","EURONEXT, Frankfurt","https://www.olo.com/"
"RICHTER GEDEON VEGYESZETI GYAR NYILVANOSAN MUKODO","3,149","","","4.607 Billion USD","Hungary","Pharmaceutical, Healthcare","","","","Frankfurt","https://www.olo.com/"
"RIOCAN REAL ESTATE INVESTMENT TRUST","3,150","905 Million USD","-51 Million USD","4.179 Billion USD","Canada","Property Investments, Rent / Lease Services, Real Estate","586","","","TSX","https://www.olo.com/"
"UPWORK","3,151","374 Million USD","-23 Million USD","4.214 Billion USD","USA","Outsourcing and Staffing, Software and IT, Industries","570","","","Nasdaq","https://www.olo.com/"
"NETWEALTH GROUP","3,152","90 Million USD","32 Million USD","2.913 Billion USD","Australia","Wealth Management, Stock Markets, Trading, Capital Markets, Financial Services","","","","ASX","https://www.netwealth.com.au"
"ANDRITZ AG","3,153","7,905 Million USD","244 Million USD","4.453 Billion USD","Austria","Industrial Automation, Industry Machinery, Industries","28,400","","","Vienna","https://www.netwealth.com.au"
"TRITAX BIG BOX REIT","3,154","645 Million USD","620 Million USD","3.946 Billion USD","UK","Property Investments, Investments, Real Estate","","","","LSE","https://www.netwealth.com.au"
"DALMIA BHARAT LIMITED","3,155","1,455 Million USD","172 Million USD","","India","Cement, Sugar, Construction Materials","8,500","","","NSE","https://www.netwealth.com.au"
"SINOTRUK (HONG KONG)","3,156","14,730 Million USD","1,028 Million USD","7.051 Billion USD","Hong Kong","Trucks, Automobile, Industries","23,147","","","HKeX","https://www.netwealth.com.au"
"ASMEDIA TECHNOLOGY","3,157","252 Million USD","105 Million USD","3.870 Billion USD","Taiwan","Semiconductors, Technology","216","","","Taiwan","https://www.netwealth.com.au"
"WPX ENERGY","3,158","","","4.572 Billion USD","USA","Oil and Gas, Energy","590","","","Frankfurt, NYSE","https://www.netwealth.com.au"
"JIANGSU GOODWE POWER SUPPLY TECHNOLOGY CO., LTD","3,158","","","","China","Electronics, Technology","","","","Shanghai","https://www.netwealth.com.au"
"ZHEFU HOLDING GROUP","3,159","1,252 Million USD","204 Million USD","3.699 Billion USD","China","Industry Machinery, Industries","","","","Shenzhen","https://www.netwealth.com.au"
"PEPKOR HOLDINGS","3,160","4,266 Million USD","-203 Million USD","3.553 Billion USD","South Africa","Retail, Consumer Cyclical","","","","Frankfurt","https://www.netwealth.com.au"
"SINOTRANS","3,161","12,681 Million USD","413 Million USD","4.985 Billion USD","China","Logistics, Industries","","","","Shanghai, HKeX","http://www.sinotrans.com/"
"ELEMENT SOLUTIONS","3,162","1,854 Million USD","76 Million USD","4.383 Billion USD","USA","Chemicals, Basic Materials","4,450","","","NYSE","http://www.sinotrans.com/"
"TRAVIS PERKINS","3,163","9,599 Million USD","169 Million USD","4.644 Billion USD","UK","Construction Materials, eCommerce, Industries","30,000","S&P EUROPE 350","","LSE, Frankfurt","http://www.sinotrans.com/"
"ACCTON TECHNOLOGY CORPORATION","3,164","1,961 Million USD","182 Million USD","6.270 Billion USD","Taiwan","Communications Equipment, Electronics, Technology","5,223","","","Taiwan","http://www.sinotrans.com/"
"DIGITAL TURBINE","3,165","314 Million USD","55 Million USD","5.017 Billion USD","USA","Software and IT, Conglomerate, Technology","205","","","Nasdaq","http://www.sinotrans.com/"
"BRAZE, INC.","3,165","","","","USA","Software and IT, Technology, Cloud Services","","","","Nasdaq","http://www.sinotrans.com/"
"IG GROUP HOLDINGS","3,166","916 Million USD","329 Million USD","4.365 Billion USD","UK","Stock Markets, Trading, Capital Markets, Financial Services","","","","LSE, Frankfurt","http://www.sinotrans.com/"
"IONIS PHARMACEUTICALS","3,167","729 Million USD","-451 Million USD","7.898 Billion USD","USA","Pharmaceutical, HealthCare Products, Healthcare","817","","","Frankfurt, Nasdaq","http://www.sinotrans.com/"
"TFS FINANCIAL CORPORATION","3,168","508 Million USD","83 Million USD","4.941 Billion USD","USA","Banking Services, Financial Services","1,000","","","Frankfurt, Nasdaq","http://www.sinotrans.com/"
"YONGHUI SUPERSTORES","3,169","13,980 Million USD","269 Million USD","10.459 Billion USD","China","Retail, Super Markets, Consumer Cyclical","","","","Shanghai","http://www.sinotrans.com/"
"CHINA BIOLOGIC PRODUCTS HOLDINGS","3,170","","","4.557 Billion USD","China","Biotechnology, Technology, Healthcare","","","","Nasdaq","http://www.chinabiologic.com/"
