medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Gastroenterology;David Rabin, MD;Atlanta Gastroenterology Associates; Southern Regional Medical Center, Piedmont Rockdale Hospital; colon cancer screening, hepatitis C, gastroesophageal reflux disease (GERD), inflammatory bowel disease;1501 Milstead Road, Suite 120, Conyers, 30012;678-745-3033
Pediatrics;Jacqueline R. Sulton, MD;The Sulton Pediatric Group; Children’s Healthcare of Atlanta at Egleston, Emory Hillandale Hospital;;2258 Northlake Parkway, Suite 100, Tucker, 30084;770-670-6100
Pediatrics;Anna B. Tanner, MD;Veritas Collaborative; Children’s Healthcare of Atlanta at Scottish Rite; eating disorders, adolescent medicine;41 Perimeter Center East, Suite 640, Dunwoody, 30346;770-871-3730
Internal Medicine;Lisa W. Lefkovits, MD;Laureate Medical Group; Northside Hospital; preventive medicine, nutrition, women’s health;4800 Olde Town Parkway, Suite 400, Marietta, 30068;678-718-2940
Internal Medicine;Frances Long, MD;Piedmont Internal Medicine; Piedmont Atlanta Hospital;;3280 Howell Mill Road NW, Suite 150, Atlanta, 30327;404-351-7467
Endocrinology, Diabetes & Metabolism;Guillermo E. Umpierrez, MD;Diabetes Center Grady Memorial Hospital; Emory University Hospital, Grady Memorial Hospital; diabetes, metabolic disorders;80 Jesse Hill Jr. Drive SE, Atlanta, 30303;404-616-1000
Endocrinology, Diabetes & Metabolism;N. Spencer Welch Jr., MD;Atlanta Diabetes Associates; Piedmont Atlanta Hospital;" diabetes; thyroid, metabolic bone, and hormonal disorders";1800 Howell Mill Road, Suite 450, Atlanta, 30318;404-355-4393
Obstetrics & Gynecology;Michelle Dodder, MD;North Atlanta Obstetrics & Gynecology; Northside Hospital, Northside Hospital Forsyth; pregnancy, women’s health, endometriosis, multiple gestation;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-0621
Obstetrics & Gynecology;Anissa Durairaj, MD;Northside/Northpoint OB-GYN; Northside Hospital, Northside Hospital Forsyth;;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-3633
Cardiovascular Disease;Brenda J. Hott, MD;Northside Cardiovascular Institute; Northside Hospital; heart failure, transplant medicine (heart), ventricular assist device (VAD);1110 Peachtree Street NW, Suite 920, Atlanta, 30309;404-962-6000
Cardiovascular Disease;Ijeoma Isiadinso, MD;Emory Heart & Vascular Center; Emory University Hospital; preventive cardiology, heart disease in women, cardiac risk reduction, cholesterol/lipid disorders;1605 Chantilly Drive NE, Suite 301, Atlanta, 30324;404-778-2746
Thoracic & Cardiac Surgery;Steven K. Macheers, MD;Emory Cardiothoracic Surgery; Emory Saint Joseph’s Hospital; heart valve surgery, coronary artery surgery, aortic valve replacement (transcatheter TAVR), minimally invasive cardiac surgery;5665 Peachtree Dunwoody Road, Suite 200, Atlanta, 30342;404-778-7200
Thoracic & Cardiac Surgery;Daniel L. Miller, MD;Cancer Treatment Centers of America; CTCA at Southeastern Regional Medical Center; lung cancer, esophageal cancer, mesothelioma, emphysema (lung volume reduction);Southeastern Regional Medical Center, 600 Celebrate Life Parkway, Newnan, 30265;770-343-7692
Surgery;Alan M. Levy, MD;Peachtree Vascular Specialists; Piedmont Henry Hospital; vascular surgery;1035 Southcrest Drive, Suite 250, Stockbridge, 30281;770-996-9945
Surgery;J. Patrick Luke, MD;North Atlanta Surgical Associates; Northside Hospital; laparoscopic surgery, gastrointestinal surgery, endocrine surgery, breast surgery;3400 Old Milton Parkway, Building C, Suite 440, Alpharetta, 30005;678-297-9707
Plastic Surgery;Felmont F.  Eaves III, MD;ME Plastic Surgery; Emory University Hospital; body contouring after weight loss, endoscopic plastic surgery, liposuction and body contouring, facial cosmetic surgery;3200 Downwood Circle, Suite 640, Atlanta, 30327;404-850-5851
Plastic Surgery;Lester Franklyn Elliott II, MD;Atlanta Plastic Surgery; Northside Hospital; breast cosmetic and reconstructive surgery, cosmetic surgery (face and body);975 Johnson Ferry Road NE, Suite 100, Atlanta, 30342;404-250-3889
Physical Medicine & Rehabilitation;Eric D. Solomon, DO;Pain Relief Clinic; pain management, electrodiagnosis;;1395 South Marietta Parkway, Building 100, Suite 102, Marietta, 30067;770-425-8700
Orthopaedic Surgery;Anuj Gupta, MD;Peachtree Orthopedics; Northside Hospital, Piedmont Atlanta Hospital; joint reconstruction, fractures, arthroscopic surgery;5505 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-355-0743
Radiation Oncology;Philip D. Shrake, MD;Radiotherapy Clinics of Georgia; Northside Hospital Lawrenceville;;311 Philip Boulevard, Lawrenceville, 30046;770-995-3000
Dermatology;Mary K. Spraker, MD;Emory Clinic; Grady Memorial Hospital; pediatric dermatology, hemangiomas/birthmarks;1525 Clifton Road NE, Suite 300, Atlanta, 30322;404-778-3333
Dermatology;Sumayah J. Taliaferro, MD;Atlanta Dermatology & Aesthetics; Piedmont Atlanta Hospital; medical dermatology, ethnic skin disorders, dermatologic surgery, cosmetic dermatology;232 19th Street, Suite 7230, Atlanta, 30363;404-873-1795
Pulmonary Disease;Jermaine M. Jackson, MD;Piedmont Pulmonary & Sleep; Piedmont Atlanta Hospital; interstitial lung disease;275 Collier Road NW, Suite 300, Atlanta, 30309;404-350-0009
Pulmonary Disease;Reginald D. Mason, MD;The Southeast Permanente Medical Group; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown;;Southwood Medical Center, 2400 Mount Zion Parkway, Jonesboro, 30236;404-365-0966
Urology;Vahan S. Kassabian, MD;Advanced Urology; Northside Hospital Lawrenceville, Eastside Medical Center; prostate cancer, prostate benign disease (BPH);11660 Alpharetta Highway, Building 700, Suite 700, Roswell, 30076;678-344-8900
Gastroenterology;Stephen J. Rashbaum, MD;Digestive Care Physicians; Emory Johns Creek Hospital; endoscopy, colonoscopy;6300 Hospital Parkway, Suite 450, Johns Creek, 30097;770-227-2222
Pediatrics;Judith R. Tolkan, MD;Roswell Pediatric Center; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite;;11525 Haynes Bridge Road, Suite 200, Alpharetta, 30009;770-751-0800
Internal Medicine;Shukri G. Makhlouf, MD;Sugarloaf Medical; Emory Johns Creek Hospital, Northside Hospital Lawrenceville; preventive medicine, hypertension, cholesterol/lipid disorders, diabetes;1300 Peachtree Industrial Boulevard, Suite 4203, Suwanee, 30024;770-831-3018
Endocrinology, Diabetes & Metabolism;Kate S. Wheeler, MD;Laureate Medical Group; Northside Hospital; thyroid cancer, metabolic syndrome, diabetes;1110 West Peachtree Street NW, Suite 1100, Atlanta, 30309;404-892-2131
Obstetrics & Gynecology;Lynley S. Durrett, MD;Avant Gynecology; Piedmont Atlanta Hospital, Northside Hospital; gynecology only, minimally invasive surgery, robotic surgery, laparoscopic hysterectomy;105 Collier Road NW, Suite 1080, Atlanta, 30309;404-352-2850
Obstetrics & Gynecology;Genevieve Fairbrother, MD;Obstetrics & Gynecology of Atlanta; Northside Hospital, Northside Hospital Forsyth; pregnancy, minimally invasive surgery, women’s health, robotic surgery;1100 Johnson Ferry Road NE, Suite 800, Center 2, Atlanta, 30342;404-252-1137
Cardiovascular Disease;Maan Jokhadar, MD;Emory Heart & Vascular Center; Emory University Hospital, Emory University Hospital Midtown; heart failure, congenital heart disease;1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-5299
Thoracic & Cardiac Surgery;Jeffrey S. Miller, MD;Emory Cardiothoracic Surgery; Emory Saint Joseph’s Hospital; cardiothoracic surgery, transplant (heart), robotic surgery, ventricular assist device (LVAD);5665 Peachtree Dunwoody Road, Suite 200, Atlanta, 30342;404-778-7200
Thoracic & Cardiac Surgery;Douglas A. Murphy, MD;Emory Cardiothoracic Surgery; Emory Saint Joseph’s Hospital; robotic surgery, minimally invasive cardiac surgery, heart valve surgery, heart valve surgery (mitral);5665 Peachtree Dunwoody Road, Suite 200, Atlanta, 30342;404-778-7200
Surgery;Raymond John Lynch, MD;Emory Clinic; Emory University Hospital; transplant (liver), transplant (kidney), hepatobiliary surgery, transplant surgery;1365 Clifton Road NE, Suite 6400, Atlanta, 30322;855-366-7989
Plastic Surgery;M. Keith Hanna Jr., MD;Marietta Plastic Surgery; Wellstar Kennestone Hospital, Northside Hospital Cherokee; facial plastic surgery, facial rejuvenation, liposuction and body contouring, breast reconstruction;823 Campbell Hill Street NW, Marietta, 30060;770-425-0118
Plastic Surgery;K. Keith Jeffords Jr., MD, DDS;Paramount Plastic Surgery; Wellstar Windy Hill Hospital; hair restoration/transplant, facelift, liposuction and body contouring, gynecomastia;3964 Atlanta Road, Smyrna, 30080;678-370-9854
Otolaryngology/Facial Plastic Surgery;Kenneth W. Anderson, MD;Anderson Center for Hair; hair restoration/transplant;;2710 Old Milton Parkway, Suite 150, Alpharetta, 30009;404-256-4247
Otolaryngology;Robert J. Andrews, MD;Atlanta Institute for ENT; Northside Hospital; laryngeal and voice disorders, professional voice care, sinus disorders/surgery;5670 Peachtree Dunwoody Road, Suite 1280, Atlanta, 30342;404-257-1589
Medical Oncology;Simbo Aduloju, MD;Georgia Cancer Specialists; Emory Decatur Hospital, Emory Hillandale Hospital; kidney cancer, colon and rectal cancer, lung cancer, bladder cancer;2712 Lawrenceville Highway, Decatur, 30033;770-496-5555
Ophthalmology;Maria E. M. Aaron, MD;Emory Eye Center; Emory University Hospital, Emory University Hospital Midtown; cataract surgery, diabetic eye disease/retinopathy, laser refractive surgery;1365 Clifton Road NE, Building B, Floor 3, Suite 3500, Atlanta, 30322;404-778-2020
Neuroradiology;Jay Cinnamon, MD;Quantum Radiology; Wellstar Kennestone Hospital, Wellstar Cobb Hospital; stroke, brain and spinal tumors, pediatric neuroradiology, pediatric neuroradiology;790 Church Street, Suite 400, Marietta, 30060;678-581-3830
Neurology;Samir R. Belagaje, MD;Emory Clinic; Emory University Hospital, Emory University Hospital Midtown; stroke;1365 Clifton Road NE, Building B, Floor 2, Atlanta, 30322;404-778-3444
Orthopaedic Surgery;Mark W. Hanna, MD;Resurgens Orthopaedics; Emory Saint Joseph’s Hospital; hip and knee replacement;5671 Peachtree Dunwoody Road, Suite 900, Atlanta, 30342;404-847-9999
Neurological Surgery;David C. Adamson, MD, PhD;Department of Neurosurgery; Emory University Hospital Midtown; brain tumors, meningioma, pituitary tumors, gliomas;Emory Clinic, Building B, 1365 Clifton Road NE, Suite 2200, Atlanta, 30322;404-778-5770
Radiation Oncology;Hui-Kuo G. Shu, MD, PhD;Department of Radiation Oncology; Emory University Hospital; brain and spinal cord tumors, image guided radiotherapy (IGRT), stereotactic radiosurgery, clinical trials;Emory Winship Cancer Institute, 1365 Clifton Road NE, Suite CT-104, Atlanta, 30322;404-778-3473
Radiation Oncology;Gary B. Stillwagon, MD, PhD;Vantage Oncology Cancer Center; Northside Hospital Lawrenceville, Northside Hospital; prostate, breast, gynecologic, head and neck cancers;698 Duluth Highway, Suite 100, Lawrenceville, 30046;770-962-8888
Nephrology;Deepak Aggarwal, MD;Kidney Care Center of Georgia; Northeast Georgia Medical Center, Northside Hospital Forsyth; chronic kidney disease;663 Lanier Park Drive, Gainesville, 30501;678-450-0202
Dermatology;Janice M. Warner, MD;Atlanta West Dermatology; Wellstar Cobb Hospital; skin cancer, Mohs surgery, cosmetic dermatology;1550 Mulkey Road, Austell, 30106;770-732-1137
Dermatology;Jamie D. Weisman, MD;Medical Dermatology Specialists; Piedmont Atlanta Hospital, Northside Hospital; psoriasis, autoimmune disease, cosmetic dermatology;5730 Glenridge Drive, Suite T-100, Atlanta, 30328;404-939-9220
Pulmonary Disease;Gregory L. Mauldin, MD;Georgia Pulmonary Group; Northside Hospital Lawrenceville, Eastside Medical Center; asthma, bronchitis, pneumonia, emphysema;1800 Tree Lane, Suite 200, Snellville, 30078;770-979-0367
Pulmonary Disease;William F. McGann Jr., MD;Gwinnett Pulmonary Group; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 350, Lawrenceville, 30046;770-995-0630
Urology;Spencer Ian Kozinn, MD;Piedmont Physicians Urology; Piedmont Atlanta Hospital; kidney stones, robotic surgery, urologic cancer;275 Collier Road NW, Suite 400, Atlanta, 30309;404-605-4848
Urology;Rajesh G. Laungani, MD;Piedmont Physicians Urology; Piedmont Atlanta Hospital; urologic cancer, prostate cancer, minimally invasive surgery, robotic surgery;275 Collier Road NW, Suite 400, Atlanta, 30309;404-605-4848
Gastroenterology;David B. Rausher, MD;Atlanta Center for Gastroenterology; Emory Decatur Hospital; inflammatory bowel disease, endoscopy and colonoscopy, clinical trials, liver disease;2665 North Decatur Road, Suite 550, Decatur, 30033;404-296-1986
Pediatrics;Christian E. Williams, MD;Kenmar Pediatrics; Wellstar Kennestone Hospital;;4550 NW Cobb Parkway North, Suite 302, Acworth, 30101;770-427-0183
Pediatrics;Robert H. Wiskind, MD;Peachtree Park Pediatrics; Piedmont Atlanta Hospital, Northside Hospital;;3193 Howell Mill Road NW, Suite 250, Atlanta, 30327;404-351-1131
Internal Medicine;Jonathan J. Masor, MD;Department of Internal Medicine; Emory University Hospital;;Emory Clinic, 1365A Clifton Road NE, Atlanta, 30322;404-778-0480
Endocrinology, Diabetes & Metabolism;Kelly N. Wood, MD;Piedmont Physicians Endocrinology; Piedmont Fayette Hospital; diabetes, thyroid disorders, osteoporosis;1265 Highway 54 West, Suite 302, Fayetteville, 30214;770-506-1590
Obstetrics & Gynecology;Lisa C. Flowers, MD;Emory Clinic; Emory University Hospital Midtown, Emory University Hospital; cervical cancer, pap smear abnormalities, colposcopy, HPV (human papillomavirus);1365 Clifton Road NE, Building A, Floor 4, Atlanta, 30322;404-778-3401
Obstetrics & Gynecology;Peahen H. Gandhi, MD;Cherokee Women’s Health Specialists; Northside Hospital Cherokee; urogynecology, obstetrics;227 Riverstone Drive, Canton, 30114;770-720-7733
Cardiovascular Disease;Paul A. Kirschbaum, MD;Emory Heart & Vascular Center; Emory Decatur Hospital; echocardiography, cardiac catheterization, heart disease, noninvasive cardiology;2665 North Decatur Road, Suite 260, Decatur, 30033;404-778-7667
Cardiovascular Disease;William M. Lieppe, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown; cardiac catheterization, angioplasty and stent placement, heart valve disease, percutaneous valve repair;5671 Peachtree Dunwoody Road, Suite 300, Atlanta, 30342;404-778-5299
Thoracic & Cardiac Surgery;Richard J. Myung, MD;Wellstar Medical Group, Cardiovascular Surgery; Wellstar Kennestone Hospital, Wellstar Atlanta Medical Center;;61 Whitcher Street, Suite 4100, Marietta, 30060;770-590-4180
Surgery;Julie F. McGill, MD;Emory at Decatur-Specialty Surgery; Emory Decatur Hospital; endocrine surgery, breast cancer and surgery;2665 North Decatur Road, Suite 130, Decatur, 30033;404-501-7081
Surgery;Kevin M. McGill, MD;Piedmont Physicians Group; Piedmont Atlanta Hospital; bariatric/obesity surgery, minimally invasive surgery;95 Collier Road NE, Suite 6015, Atlanta, 30309;404-351-5959
Plastic Surgery;Wright A. Jones, MD;Muse Plastic Surgery; cosmetic surgery, ethnic cosmetic surgery, rhinoplasty, body contouring after weight loss;;3400 Peachtree Road NE, Suite 1537, Atlanta, 30326;404-994-5937
Plastic Surgery;Carmen M. Kavali, MD;Plastic Surgery & Skin Renewal Center; Northside Hospital; cosmetic surgery (face and breast), body contouring after weight loss, facial rejuvenation;6045 Barfield Road, Suite 100, Atlanta, 30328;404-250-3333
Otolaryngology/Facial Plastic Surgery;Louis M. DeJoseph, MD;Premier Image Cosmetic & Laser Surgery; Northside Hospital; facial plastic and reconstructive surgery, cosmetic surgery (face and neck), facelift;6085 Barfield Road NE, Suite 100, Sandy Springs, 30328;770-457-6303
Otolaryngology;Sanjay A. Bhansali, MD;Ear Consultants of Georgia; Northside Hospital; hearing and balance disorders, facial nerve disorders, skull base tumors, cochlear implants;5881 Glenridge Drive NE, Suite 230, Atlanta, 30328;404-943-0170
Medical Oncology;Aaron R. Alizadeh, MD;Georgia Cancer Specialists; Emory Decatur Hospital, Northside Hospital; breast cancer, melanoma, cancer genetics;2712 Lawrenceville Highway, Decatur, 30033;770-496-5555
Medical Oncology;Vasileios J. Assikis, MD;Piedmont Cancer Institute; Piedmont Newnan Hospital, Piedmont Atlanta Hospital; genitourinary cancer;775 Poplar Road, Suite 310, Newnan, 30265;770-251-2590
Ophthalmology;Farooq Ashraf, MD;Atlanta Vision Institute; Northside Hospital; cataract surgery, LASIK (refractive surgery);11459 Johns Creek Parkway, Suite 100, Johns Creek, 30097;770-622-2488
Neurology;William S. Bikoff, MD;Atlanta Neurological Associates; Piedmont Rockdale Hospital; epilepsy, multiple sclerosis, stroke, neuromuscular disorders;300 Prime Point, Peachtree City, 30269;770-486-7195
Neurology;Lisa M. Billars, MD;The Southeast Permanente Medical Group; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown;;Cumberland Medical Center, 2525 Cumberland Parkway SE, Atlanta, 30339;404-365-0966
Orthopaedic Surgery;John G. Heller, MD;Emory Orthopaedics & Spine Center; Emory University Hospital, Emory University Hospital Midtown; spinal trauma, spinal tumors, scoliosis, spinal surgery;59 Executive Park South NE, Atlanta, 30329;404-778-3350
Orthopaedic Surgery;John D. Henry Jr., MD;Peachtree Orthopedics; Northside Hospital, Piedmont Atlanta Hospital; hip and knee replacement, arthroscopic surgery (hip), arthroscopic surgery (knee), minimally invasive surgery;5505 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-355-0743
Neurological Surgery;David M. Benglis, MD;Atlanta Brain & Spine Care; Piedmont Atlanta Hospital; spinal disorders (degenerative), spinal stenosis, spinal surgery (complex), spinal tumors;2001 Peachtree Road NE, Suite 575, Atlanta, 30309;404-350-0106
Neurological Surgery;Nicholas M. Boulis, MD;Department of Neurosurgery; Emory University Hospital; peripheral nerve surgery;Emory Clinic, Building B, 1365 Clifton Road NE, Suite 2200, Atlanta, 30322;404-778-5770
Radiation Oncology;Sasha H. Wahab, MD;Radiation Oncology Services; Piedmont Henry Hospital, Piedmont Newnan Hospital;;960 Hospital Drive, Stockbridge, 30281;678-251-1099
Nephrology;David Bahrami, MD;Nephrology Consultants of Georgia; Piedmont Atlanta Hospital, Piedmont Fayette Hospital; kidney disease;275 Collier Road NW, Suite 290, Atlanta, 30309;404-352-3300
Dermatology;Jonathan S. Weiss, MD;Georgia Dermatology Partners; Northside Hospital Lawrenceville; acne, psoriasis, eczema, photoaging;2383 Pate Street, Snellville, 30078;770-972-4845
Pulmonary Disease;Eduardo J. Molinary, MD;Wellstar Medical Group; Wellstar Cobb Hospital, Wellstar Paulding Hospital; sleep disorders/apnea;1664 Mulkey Road, Austell, 30106;770-422-1372
Urology;Benjamin C. Lee, MD;Urology of Greater Atlanta; Piedmont Henry Hospital, Wellstar Spalding Regional Hospital; prostate cancer;290 Country Club Drive, Suite 100, Stockbridge, 30281;770-474-5281
Gastroenterology;Raymond A. Rubin, MD;Piedmont Transplant Institute; Piedmont Atlanta Hospital; transplant medicine (liver), liver disease, hepatitis;1968 Peachtree Road NW, Building 77, Floor 5, Atlanta, 30309;404-605-4529
Pediatrics;Earl Y. Young, MD;West Atlanta Pediatrics; Children’s Healthcare of Atlanta at Egleston;;915 Thornton Road, Lithia Springs, 30122;770-739-9292
Internal Medicine;Fredd E. Miller, MD;Sandy Springs Internal Medicine; Northside Hospital; concierge medicine, preventive medicine;755 Mount Vernon Highway NE, Suite 500, Atlanta, 30328;678-252-6384
Internal Medicine;R. Allen Mills, MD;Laureate Medical Group; Northside Hospital Cherokee, Northside Hospital;;684 Sixes Road, Suite 265, Holly Springs, 30115;770-720-2221
Obstetrics & Gynecology;Veronica E. Garrett, MD;New Beginnings Comprehensive Women’s Healthcare; Piedmont Rockdale Hospital;;1415 Milstead Road, Suite A, Conyers, 30012;678-413-0858
Cardiovascular Disease;Gina P. Lundberg, MD;Emory Heart & Vascular at East Cobb; Emory Saint Joseph’s Hospital; preventive cardiology, heart disease in women, noninvasive cardiology, cholesterol/lipid disorders;137 Johnson Ferry Road, Suite 1200, Marietta, 30068;404-251-1900
Cardiovascular Disease;Hector A. Malave, MD;Cardiology of Atlanta; Emory Saint Joseph’s Hospital, Northside Hospital; coronary artery disease, interventional cardiology, nuclear cardiology, echocardiography;755 Mount Vernon Highway NE, Suite 530, Atlanta, 30328;404-252-7970
Thoracic & Cardiac Surgery;Allan Pickens, MD;Emory University Hospital Midtown; Emory University Hospital Midtown, Emory University Hospital; esophageal cancer, lung cancer, minimally invasive thoracic surgery, transplant (lung);550 Peachtree Street NE, Floor 6, Atlanta, 30308;404-686-2515
Thoracic & Cardiac Surgery;Theolyn N. Price, MD;Wellstar Thoracic Surgery Associates; Wellstar North Fulton Hospital, Wellstar Kennestone Hospital; thoracic surgery, esophageal surgery, chest wall tumors, lung surgery;61 Whitcher Street, Suite 4120, Marietta, 30060;770-424-9732
Surgery;Kenneth A. Newell, MD, PhD;Emory Clinic; Emory University Hospital, Children’s Healthcare of Atlanta at Egleston; transplant (kidney, adult and pediatric), transplant (pancreas);1365 Clifton Road NE, Suite 6400, Atlanta, 30322;855-366-7989
Plastic Surgery;Dzifa S. Kpodzo, MD;Morehouse Healthcare; Wellstar Atlanta Medical Center, Grady Memorial Hospital; breast cosmetic and reconstructive surgery, eyelid surgery;1800 Howell Mill Road NW, Suite 275, Atlanta, 30318;404-756-1400
Plastic Surgery;Marisa Lawrence, MD;; Northside Hospital; breast cosmetic and reconstructive surgery, abdominoplasty, facial rejuvenation, body contouring after weight loss;980 Johnson Ferry Road, Suite 110, Atlanta, 30342;404-303-7004
Otolaryngology/Facial Plastic Surgery;Mike V. Majmundar, MD;Northside Plastic Surgery; Northside Hospital, Wellstar North Fulton Hospital; facial rejuvenation, rhinoplasty, eyelid surgery/blepharoplasty, cosmetic surgery (face and neck);11681 Haynes Bridge Road, Suite 200, Alpharetta, 30009;770-475-3146
Otolaryngology;Steven R. Bomeli, MD;Advanced Ear, Nose & Throat Associates; Northside Hospital, Emory Saint Joseph’s Hospital; thyroid and parathyroid surgery, balloon sinuplasty, nasal allergy, nasal and sinus surgery;960 Johnson Ferry Road NE, Suite 200, Atlanta, 30342;404-943-0900
Medical Oncology;Mehmet A. Bilen, MD;Emory Winship Cancer Institute; Emory University Hospital; genitourinary cancer, bladder cancer, kidney cancer;1365 Clifton Road NE, Building C, Floor 2, Atlanta, 30322;713-798-0190
Ophthalmology;Allen D. Beck, MD;Emory Eye Center; Emory University Hospital, Emory University Hospital Midtown; glaucoma, cataract surgery;1365 Clifton Road NE, Building B, Floor 4, Suite 4500, Atlanta, 30322;404-778-2020
Maternal & Fetal Medicine;Alexander D. Allaire, MD;The Longstreet Clinic; Northeast Georgia Medical Center; pregnancy (high risk), prenatal diagnosis;Gainesville Perinatal Center, 705 Jesse Jewell Parkway, Suite 150, Gainesville, 30501;770-287-3815
Interventional Cardiology;Vasilis C. Babaliaros, MD;Emory Clinic; Emory University Hospital, Emory University Hospital Midtown; heart valve disease, percutaneous valve repair, cardiac catheterization;1365 Clifton Road NE, Building A, Suite F-606, Atlanta, 30322;404-778-5279
Infectious Disease;Mitchell A. Blass, MD;Georgia Infectious Diseases; Emory Saint Joseph’s Hospital, Northside Hospital; hospital acquired infections, endocarditis, bone/joint infections, AIDS/HIV;5673 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-256-4111
Hospice & Palliative Medicine;Kimberly A. Curseen, MD;Emory Supportive Care Clinic; Emory University Hospital, Emory University Hospital Midtown; cancer palliative care, cancer survivorship;1365 Clifton Road, Building A, Floor 3, Atlanta, 30322;404-778-6448
Hematology;Asad Bashey, MD, PhD;Blood & Marrow Transplant Group of Georgia; Northside Hospital; leukemia, bone marrow and stem cell transplant;5670 Peachtree Dunwoody Road, Suite 1000, Atlanta, 30342;404-255-1930
Hand Surgery;Bryce T. Gillespie, MD;Hand & Upper Extremity Center of Georgia; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; hand and upper extremity surgery, hand and elbow nerve disorders, pediatric hand surgery, sports injuries;980 Johnson Ferry Road NE, Suite 1020, Atlanta, 30342;404-255-0226
Gynecologic Oncology;Guilherme Cantuaria, MD, PhD;University Gynecologic Oncology; Northside Hospital; robotic surgery, minimally invasive surgery, endometrial cancer, ovarian cancer;960 Johnson Ferry Road, Suite 130, Atlanta, 30342;404-300-2990
Neurology;Gavin F. Brown, MD;Laureate Medical Group; Northside Hospital Cherokee, Northside Hospital; neuromuscular disorders, myasthenia gravis;460 Northside Cherokee Boulevard, Suite 170, Atlanta, 30328;404-649-6998
Neurology;Cathrin M. Buetefisch, MD, PhD;Emory Brain Health Center; Emory University Hospital; movement disorders, deep brain stimulation, Parkinson’s disease, dystonia;12 Executive Park Drive NE, Atlanta, 30329;404-778-3444
Neurology;Jonathan D. Glass, MD;Emory Brain Health Center; Emory University Hospital, Emory University Hospital Midtown; amyotrophic lateral sclerosis (ALS), neuromuscular disorders, clinical trials;12 Executive Park Drive NE, Atlanta, 30329;404-778-3444
Geriatric Psychiatry;Adriana P. Hermida, MD;Emory Clinic at Executive Park; Emory University Hospital, Wesley Woods Geriatric Hospital; Alzheimer’s disease, Parkinson’s disease, neuropsychiatry, behavioral problems, dementia;12 Executive Park Drive NE, Floor 5, Atlanta, 30329;404-778-5526
Orthopaedic Surgery;Jon L. Hyman, MD;; sports medicine, shoulder and knee surgery, hip surgery, arthroscopic surgery;;1462 Montreal Road West, Suite 101, Tucker, 30084;770-363-8770
Orthopaedic Surgery;Paul R. Jeffords, MD;Resurgens Orthopaedics; Emory Saint Joseph’s Hospital, Northside Hospital; spinal disorders, spinal reconstructive surgery, minimally invasive spinal surgery, spinal disc replacement;5671 Peachtree Dunwoody Road, Suite 900, Atlanta, 30342;404-847-9999
Neurological Surgery;William R. Boydston, MD, PhD;Pediatric Neurosurgery Associates; Children’s Healthcare of Atlanta at Scottish Rite; pediatric neurosurgery, spasticity and movement disorders, brachial plexus injury, congenital anomalies;Medical Office Building at Scottish Rite, 5461 Meridian Mark Road, Suite 520, Atlanta, 30342;404-785-2900
Neurological Surgery;Barunashish Brahma, MD;Pediatric Neurosurgery Associates; Children’s Healthcare of Atlanta at Scottish Rite; pediatric neurosurgery, brain tumors, Chiari malformations, minimally invasive spinal surgery;Medical Office Building at Scottish Rite, 5461 Meridian Mark Road, Suite 520, Atlanta, 30342;404-785-2900
Radiation Oncology;Nancy H. Wiggers, MD;Northside Hospital Cancer Institute; Northside Hospital; breast cancer, intensity modulated radiotherapy (IMRT), stereotactic radiosurgery;1000 Johnson Ferry Road NE, Atlanta, 30342;404-851-8850
Radiation Oncology;W. Hamilton Williams III, MD;Northside Hospital Cancer Institute; Northside Hospital, Northside Hospital Forsyth; lung cancer, breast cancer, head and neck cancer, prostate brachytherapy;1000 Johnson Ferry Road NE, Atlanta, 30342;404-851-8850
Nephrology;James L. Bailey, MD;Department of Nephrology; Emory University Hospital, Emory University Hospital Midtown; kidney disease (chronic);Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-5380
Nephrology;Hanif Boghani, MD;Atlanta Kidney Care; Emory Decatur Hospital, Northside Hospital;;1462 Montreal Road, Suite 214, Tucker, 30084;770-939-2020
Dermatology;Sylvia W. Wright, MD;Peachtree Dermatology Associates; Piedmont Atlanta Hospital; skin cancer, cosmetic dermatology, ethnic skin disorders;371 East Paces Ferry Road, Suite 900, Atlanta, 30305;404-355-1919
Pulmonary Disease;Thomas G. Murray, MD;Northeast Georgia Diagnostic Clinic; Northside Hospital Forsyth;;1240 Jesse Jewell Parkway SE, Suite 500, Gainesville, 30501;770-536-9864
