medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Emergency Medicine;ABMS Emergency Medicine;John E. Lewis, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Howard University College of Medicine;Union Memorial Hospital;Cook County Hospital
Otolaryngology;ABMS Otolaryngology;Joshua M. Levy, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Oregon Health & Science University;Tulane University School of Medicine;Tulane University School of Medicine;Tulane University School of Medicine
Rheumatology;ABMS Internal Medicine;Karen L. Law, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University Hospital;Brown Medical School;;Emory University Hospital
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Eva H. Lathrop, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Vermont College of Medicine;Maine Medical Center;Maine Medical Center
Radiation Oncology;ABMS Radiology;Mark W. McDonald, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;The Ohio State University Wexner Medical Center: James Cancer Hospital;Emory University School of Medicine;Emory University Hospital
Abdominal Imaging;ABMS Radiology;Justin W. McClain, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Maryland Medical System;Cornell University;UMDNJ- Robert Wood Johnson;SUNY Downstate Medical Center
Internal Medicine;ABMS Internal Medicine;Elizabeth  McCord, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Louisiana State University;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Nkechi M. Mbaezue, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Nigeria;University  of Nigeria;Morehouse School Of Medicine
Cardiothoracic Vascular Surgery;ABMS Thoracic Surgery;Bradley G. Leshnower, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Texas;Hospital of the University of Pennsylvania;Hospital of the University of Pennsylvania
Cardiology & Interventional Cardiology;ABMS Internal Medicine;Michael C. McDaniel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical College of Georgia School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Neonatology;ABMS Pediatrics;Angela P. Leon-Hernandez, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Cohen Children's Medical Center;Pontificia Universidad;;Bronx Lebanon Hospital
Infectious Diseases;ABMS Internal Medicine;Jeffrey L. Lennox, MD, FIDSA;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Walter Reed Army Medical Center;University of Colorado School of Medicine;Walter Reed Army Medical Center;Walter Reed Army Medical Center
Ophthalmology;ABMS Ophthalmology;Phoebe D. Lenhart, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Anesthesiology;ABMS Anesthesiology;Hee Won  Lee, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Johns Hopkins Hospital;Johns Hopkins University;Johns Hopkins Bayview Medical Center;Johns Hopkins Hospital
Allergy & Immunology;ABMS Internal Medicine;Gerald B. Lee, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cincinnati Childrens Hospital Medical Center;Case Western Reserve School of Medicine;Saint Vincent Catholic Medical;Saint Vincent Catholic Medical
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Joyce T. Lee, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Alainia  Morgan-James, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;MedStar Georgetown University Hospital;SUNY Upstate Medical School;University of Maryland;University of Maryland
Gynecologic Oncology;ABMS Obstetrics/Gynecology;Roland P. Matthews, MD, FACOG;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;State University of New York;S.U.N.Y. School of Medicine @ Stony Brook;;SUNY Downstate Medical Center
Emergency Medicine;ABMS Emergency Medicine;Brent W. Morgan, MD FACMT;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;MetroHealth Medical Center;MetroHealth Medical Center - Ohio
Diagnostic Radiology;ABMS Radiology;Courtney C. Moreno, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Duke University Medical Center;Columbia University College of Physicians & Surgeons;St. Luke's - Roosevelt Hospital Center;Duke University Medical Center
Infectious Disease;ABMS Internal Medicine;Caitlin A. Moran, MD, MSc;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Georgetown University School of Medicine;University of Pittsburgh Medical Center;University of Pittsburgh Medical Center
Emergency Medicine;ABMS Emergency Medicine;Ethan M. Meisel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Rush Medical College;;Emory University School of Medicine
Medical Oncology;ABMS Internal Medicine;Melvin R. Moore, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Stanford School of Medicine;Wayne State University School of Medicine;Boston Medical Center;Boston Medical Center
Emergency Medicine;ABMS Emergency Medicine;Brooks L. Moore, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Charles E. Moore, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Harvard Medical School;University of Michigan Health System;University of Michigan Health System
Reproductive Endocrinology;ABMS Obstetrics/Gynecology;Valerie C. Montgomery Rice, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Hutzel Women's Hospital;Harvard Medical School;;Emory University School of Medicine
Anesthesiology;ABMS Anesthesiology;Ebonique B. Moment, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Meharry Medical College School of Medicine;;Medical College of Georgia
Family Medicine;ABMS Family Medicine;Ashley L. McCann, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;Emory University;Loyola Stritch School of Medicine;;Cook County- Loyola Family
Neonatology;ABMS Pediatrics;Letitia F. Mobley, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Morehouse School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Family Medicine;;Marissa  Lapedis, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;University of Michigan Medical School;;Montefiore Medical Center
Breast Imaging;ABMS Radiology;Christopher R. McAdams, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Florida College of Medicine;Spartanburg Regional Medical Center;Wake Forest School of Medicine
Reproductive Endocrinology;ABMS Obstetrics/Gynecology;Dorothy E. Mitchell-Leef, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of Louisville School of Medicine;University of Louisville School of Medicine;;University of Louisville School of Medicine
Trauma Surgery;ABMS Surgery;Rohit  Mittal, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Medical Center;Emory University;Emory University Hospital;Emory University Hospital
Emergency Medicine;ABMS Emergency Medicine;Olivia R. Minkhorst, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Lesley S. Miller, MD;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;Albert Einstein College of Medicine;Emory University School of Medicine;Emory University School of Medicine
Orthopedics;ABMS Orthopaedic Surgery;Thomas J. Moore, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;UT Southwestern Medical Center;Loyola Stritch School of Medicine;;Emory University
Orthopaedics;ABMS Orthopaedic Surgery;Andrew H. Milby, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Pennsylvania School of Medicine;;University of Pennsylvania School of Medicine
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Amy D. Kuhmichel, DMD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Pennsylvania School of Medicine;;Emory University School of Medicine
Medical Oncology;ABMS Internal Medicine;Omer  Kucuk, MD;Male;German;Grady Memorial Hospital;Emory;(404) 616-1000;Northwestern University, The Feinberg School of Medicine;Hacettepe University Medical School;;St. Francis Hospital(Evanston)
Dermatology;ABMS Dermatology;Loren D. Krueger, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Wisconsin;University of Chicago;New York University
Interventional Radiology;ABMS Radiology;Venkatesh  Krishnasamy, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;National Institutes of Health;Northeast Ohio Medical University;Ohio State University Hospital;Ohio State University Hospital
Nuclear Medicine;ABMS Radiology;Valeria M. Moncayo, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Pontific Catholic University;Yale New Haven Hospital;Emory University Hospital
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Iris I. Krishna, MD;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;Louisiana State University;;Emory University School of Medicine
Pathology;ABMS Pathology;Uma  Krishnamurti, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh Medical Center;Lady Hardinge Medical;;University of Minnesota
Neurology;ABMS Psychiatry/Neurology;Jacqueline V. Kraft, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical School of GA;Thomas Jefferson University;Thomas Jefferson University
Emergency Medicine;ABMS Emergency Medicine;Melissa J. Lamberson, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Miami School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Pediatric Radiology;;Neil U. Lall, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Ohio State University Medical;;
Internal Medicine;ABMS Internal Medicine;Alia S. Lepere, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;St George's University;Saint John Hospital;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Michelle D. Lall, MD, MHS, FACEP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Wayne State University School of Medicine
Internal Medicine;ABMS Family Medicine;Ashima  Lal, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Buffalo;;;University of Buffalo
Neuroradiology;ABMS Nuclear Medicine;Manohar  Kuruva, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Duke University Medical Center;Kurnool Medical Budhawara Peta;;University of Arkansas Medical Sciences
Emergency Medicine;ABMS Emergency Medicine;Kristen G. Moore, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;McGaw Medical Center of Nortwestern University
Medical Oncology;ABMS Internal Medicine;Joan L. Kramer, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;St. Louis University School of Medicine;;St. Louis University Hospitals
Neurology;ABMS Psychiatry/Neurology;Ren-Shuoh  Kuo, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Philadelphia College of Osteopathic Medicine;;West Virginia University School of Medicine
Cardiology;ABMS Internal Medicine;Gautam  Kumar, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo School of Graduate Education;Yong Loo Lin School of Medicine;;Mayo School of Graduate Education
Pulmonary Disease;ABMS Internal Medicine;Gregory S. Martin, MD, MSc, FACP, FCCP, FCCM, ATSF;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Vanderbilt University Medical Center;Vanderbilt University College of Medicine;Vanderbilt University Medical Center;Vanderbilt University Medical Center
Breast Imaging;ABMS Radiology;Ariane  Martinez, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Universidad Central del;St Mary Mercy Hospital;University of Texas Medical Center
Internal Medicine;ABMS Internal Medicine;Ryan A. Marten, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;St. George's University;Memorial Health University Medical;
Pediatric Radiology;ABMS Radiology;Kelley W. Marshall, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Cincinnati Children's Hospital Medical Center;Northeastern Ohio Universities College of Medicine;Riverside Regional Medical Center;Eastern Virginia Medical School
Psychiatry;ABMS Psychiatry/Neurology;Challyn N. Malone, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Northwest University, Feinberg School of Medicine;Medical University of South Carolina;Medical University of South Carolina
Internal Medicine;ABMS Internal Medicine;Manpreet S. Malik, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;ECFMG;;University of Pittsburgh Medical Center
Emergency Medicine;ABMS Emergency Medicine;Julio R. Lairet, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Indiana University Medical Center;Oklahoma State University;Malcolm Grow Medical Center;San Antonio Uniformed Services Health
Interventional Radiology;ABMS Radiology;Bill S. Majdalany, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Brigham and Women's Hospital;University of Louisville Hospital;University of Louisville Hospital;Brigham and Women's Hospital
Surgery;ABMS Surgery;Shishir K. Maithel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Memorial Sloan Kettering;Beth Israel Deaconess Medical Center;;University of Chicago
Anesthesiology;ABMS Anesthesiology;Dawn M. Manning-Williams, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Meharry Medical College School of Medicine;Crozier Chester Medical Center;Albert Einstein College of Medicine
Internal Medicine;ABMS Internal Medicine;Kimberly D. Manning, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Meharry Medical College School of Medicine;MetroHealth Medical Center - Ohio;MetroHealth Medical Center - Ohio
Family Medicine;ABMS Family Medicine;Jessica L. Malmad, MD;Female;;Brookhaven Health Center;Grady;(404) 616-1000;;Florida State University College of Medicine;;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;Kiran K. Maddu, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Michigan School of Medicine;Rangaraya Medical School;Rangaraya Medical School;Rangaraya Medical College
Hematology;ABMS Pathology;Karen P. Mann, MD, PhD, FAACP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Tufts University School of Medicine;Duke University Medical Center;Duke University Medical Center
Infectious Disease;ABMS Internal Medicine;Cecile A. Lahiri, MD, MS;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;University of North Carolina @ Chapel Hill, School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Lisa R. Mack, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Illinois College of Medicine;;
Breast Imaging;ABMS Radiology;Timothy  Machen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Louisiana State University at New Orleans School of Medicine;Louisiana State University at New Orleans School of Medicine;Emory University Hospital
Cardiothoracic Vascular Surgery;ABMS Surgery;Steven K. Macheers, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School Of Medicine;Tulane University School of Medicine;;New York Hospital/Cornell Medical Center
Orthopaedics;ABMS Orthopaedic Surgery;Michael A. Maceroli, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Maryland Medical System;Rutgers - SUNY;;University of Rochester School of Medicine & Dentistry
Ophthalmology;ABMS Ophthalmology;Xiaoqin  Lu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Shiley Eye Center, University of California;University of Vermont College of Medicine;Auburn Hospital;Rhode Island Hospital-Lifespan
Diagnostic Radiology;ABMS Radiology;Mohammed Faisal Loya, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;American University of the Caribbean School of Medicine;University Medical Center;University Medical Center
Infectious Diseases;ABMS Internal Medicine;Vincent C. Marconi, MD;Male;Spanish;Ponce De Leon Center;Emory;(404) 616-1000;Massachusetts General Hospital;Johns Hopkins University School of Medicine;Brigham and Women's Hospital;Brigham and Women's Hospital
Orthopaedics;ABMS Orthopaedic Surgery;John  Louis-Ugbo, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Orthopedic Associates of Grand Rapids Michigan;University of Ibadan;Emory University School of Medicine;Emory University School of Medicine
;ABMS Psychiatry/Neurology;Barbara  Lopes-Cardozo, MD;Female;;;Emory;(404) 616-1000;;;;University of Florida Health Sciences Center
Breast Imaging;ABMS Radiology;Ana Rita Longuino, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Augusta University;Faculdade de Medicina;Augusta University;Augusta University
Medical Oncology;ABMS Internal Medicine;Sagar  Lonial, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Louisville School of Medicine;Baylor College of Medicine;Baylor College of Medicine
;ABMS Internal Medicine;Koba A. Lomashvili, MD;Male;Russian;;Emory;(404) 616-1000;Emory University School of Medicine;Volgograd State Medical University;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Jennifer E. Lom, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Colorado School of Medicine;Emory University School of Medicine;
Diagnostic Radiology;ABMS Radiology;Jonathan M. Loewen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital of Philadelphia;Wake Forest University School of Medicine;Spectrum Health East Campus;Pennsylvania Hospital
Dermatology;ABMS Dermatology;Jamie B. MacKelfresh, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Emberlynn L. Liu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Southwestern;University of Texas Health Science Center;;Parkland Memorial Hospital
Emergency Medicine;ABMS Emergency Medicine;John H. Lloyd, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Munish  Luthra, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mount Sinai School of Medicine;Calicut Medical;;Mount Sinai School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Steven M. Lindsey, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Michael K. Lindsay, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Cincinnati College of Medicine;Yale University School of Medicine;;Boston Medical Center
Pediatric Radiology;ABMS Radiology;Leann E. Linam, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Cincinnati Childrens Hospital Medical Center;University of Tennessee School of Medicine;Methodist Hospital;University of Cinncinatti
Pediatric Infectious Diseases;ABMS Pediatrics;William M. Linam, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cincinnati Childrens Hospital Medical Center;University of Tennessee Health Science Ctr.;Cincinnati Childrens Hospital Medical Center;Cincinnati Childrens Hospital Medical Center
Psychiatry;ABMS Psychiatry/Neurology;Cliff C. Lin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Chicago;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Inho  Kim, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;OHSU;Medical College of Georgia;;New York Presbyterian - Columbia
Pulmonary & Critical Care;ABMS Internal Medicine;Marshaleen N. King, MD, MScr, FCCP;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Mayo School of Graduate Medical Education;University of the West Indies;Morehouse School Of Medicine;Morehouse School Of Medicine
Ophthalmology;ABMS Ophthalmology;Joung Yon Kim, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Cincinnati College of Medicine;University of Maryland School of Medicine;Mercy Medical Center(Baltimore);Univ of Pittsburgh Medical Center-Beaver Valley
Internal Medicine;ABMS Internal Medicine;Jason P. Linefsky, MD;Male;;Kirkwood Health Center;Emory;(404) 616-1000;University of Washington School of Medicine;Eastern Virginia Medical School;;James Eastwood, MD
General Medicine;ABMS Internal Medicine;Meredith H. Lora, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Keck School of Medicine of the University of Southern California;Emory University School of Medicine;;University of California  San Francisco
Ophthalmology;ABMS Ophthalmology;Hee J. Kim, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas Health Science Center at Houston;University of Texas Health Science Center at Houston;University of Texas Health Science Center at Houston
Surgery;ABMS Thoracic Surgery;Onkar V. Khullar, MD, MSc;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Jefferson Medical College;;Beth Israel Deaconess Medical Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Melissa J. Kottke, MD, MPH, MBA;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Minnesota School of Medicine;University of Texas Southwestern Medical Center at Dallas;University of Texas Southwestern Medical Center at Dallas
Internal Medicine;ABMS Internal Medicine;Sarah H. Koumtouzoua, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Creighton University Medical Center;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Srinija  Konduru, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Emory University
Hematology/Oncology;ABMS Internal Medicine;Sri Lakshmi S. Kollepara, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;St. John Providence Hospital;Deccan College of Medical Sciences;Sinai-Grace Hospital;Sinai-Grace Hospital
Interventional Radiology;ABMS Radiology;Nima  Kokabi, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;University of Sydney Medical School;Metrowest Medical Center;Emory University School of Medicine
Allergy & Immunology;ABMS Allergy/Immunology;Lisa J. Kobrynski, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;McGill University Faculty of Medicine;;Montreal Children's Hospital
Plastic Surgery;ABMS Plastic Surgery;Dzifa S. Kpodzo, MD, MPH, FACS;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Paces Plastic Surgery Specialty: Oculoplastic;Harvard Medical School;;Harvard Plastic & Reconstructive-Brigham & Women Hospital
;ABMS Otolaryngology;Adam M. Klein, MD;Male;;;Emory;(404) 616-1000;Massachusetts General Hospital;University of Connecticut School of Medicine;University of Colorado School of Medicine;University of Connecticut Health Center
Emergency Medicine;ABMS Emergency Medicine;Rachel R. Koval, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University;;Emory University
Pediatric Medicine;ABMS Pediatrics;Gagandeep K. Kooner, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Kasturba Medical College;Flushing Hospital Medical Center;Westchester Medical Center
Breast Imaging;ABMS Radiology;Mary S. Newell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;St. Francis Hospital;University of Michigan Medical School;;St. Francis Hospital
Pulmonary & Critical Care;ABMS Internal Medicine;Wendy A. Neveu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Vermont;Emory University School of Medicine;Emory University School of Medicine
Dermatology;ABMS Dermatology;Sareeta R.S. Parker, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Univ of Missouri-Kansas City School of Medicine;Yale University School of Medicine;University of Kansas Medical Center
Urology;ABMS Urology;John G. Pattaras, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;National Cancer Institute;George Washington University School Medicine&Health Sciences;North Shore University Hospital (Manhassett);George Washington University Hospital
Neonatology;ABMS Pediatrics;Mitali A. Pakvasa, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Wright State Univeristy;University of Louisville School of Medicine;University of Louisville School of Medicine
Infectious Diseases;ABMS Internal Medicine;Ighovwerha  Ofotokun, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;University of Michigan Health System;University of Benin;University of Michigan Health System;University of Michigan Health System
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Titilope  Oduyebo, MD, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Center for Disease Control;Yale University School of Medicine;;Brigham and Women's Hospital
Cardiovascular Disease;ABMS Internal Medicine;Adefisayo M. Oduwole, MD, FACC;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Bronx-Lebanon Hospital Center;University of Lagos College of Medicine;;Bronx-Lebanon Hospital Center
Nephrology;ABMS Internal Medicine;Vandana D. Niyyar, MD, FASN, FNKF, FASDIN;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Pt BDS Post Graduate Institute;;University of Louisville Hospital
Vascular Surgery;ABMS Surgery;Christopher R. Ramos, MD, RPVI;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Colorado;;University of Colorado
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Kiwita S. Phillips, MD, FACOG;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Harvard Medical School;;Morehouse School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Kiran M. Perkins, MD;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;SUNY Univ of NY at Buffalo School of Medicine;;University of Pittsburgh Medical Center
Radiology;ABMS Radiology;Maria  Piraner, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Vanderbilt University Medical Center;Emory University School of Medicine;Emory University School of Medicine;St. Luke's Roosevelt Medical Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Emily E. Petersen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Centers for Disease Control & Prevention;University of Iowa Carver College of Medicine;Ohio State University Hospital;Ohio State University Medical
Family Medicine;ABMS Family Medicine;Paula L. Pollard-Thomas, MD, CPE, AE-C;Female;;Camp Creek Comprehensive Care Center;Grady;(404) 616-1000;;Albany Medical College;Jamaica Hospital Medical Center;Jamaica Hospital Medical Center
Radiology;ABMS Radiology;Adam B. Prater, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Gastroenterology;ABMS Internal Medicine;Meena A. Prasad, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Northwestern University;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Cardiovascular Disease/Cardiology;ABMS Internal Medicine;Elizabeth O. Ofili, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Washington  University;Ahmadu Bello University;;Oral Roberts University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Kahra D.M. Nix, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of North Carolina School of Medicine;;Emory University School of Medicine
Medical Oncology;ABMS Internal Medicine;Myra E. Rose, MD, FACP;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;Tufts University School of Medicine;Washington Hospital Center;Washington Hospital Center
Emergency Medicine;ABMS Emergency Medicine;Cynthia  Romero, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;University of Pittsburgh School of Medicine;;Vanderbilt University Medical Center
Ophthalmology;ABMS Ophthalmology;Ghazala A. O'Keefe, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Johns Hopkins University;UCLA Olive View Medical Center;LAC-USC/Doheny Ophthalmology
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Steven M. Roser, MD DMD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;Massachusetts General Hospital;Massachusetts General Hospital
Otolaryngology;ABMS Otolaryngology;Christopher  Nickel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Louisville School of Medicine;;University of South Florida
