"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Michael W Nichols","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Laura C Clark","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sheila P Meftah","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Jennifer L Raffin","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine",""
"Rica C Stamatin","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Ronald Y Barnett","Geriatric Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Detroit Osteopathic Hospital & Bi-County Community Hospital",""
"Kelly Z Ortwine","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Suleman Siddiqui","Internal Medicine","Beaumont Hospital, Wayne","","Male","English Urdu","Adults Geriatrics","Henry Ford Hospital",""
"Robert J Jackson","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Sandor Shoichet","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Northwestern University The Feinberg School of Medicine","5.0 out of 5"
"Varsha G. Deshmukh","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English French Gujarati Hindi Marathi Spanish","Pediatrics Teenagers Adults Geriatrics","North Shore University Hospital at Forest Hills",""
"Margaret Eckel","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Alan N Bunney","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Japanese","Adults Geriatrics","University of Miami, Holy Cross Hospital",""
"Curtis P Craig","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Ali M Alsaadi","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","Arabic English","Adults Geriatrics","Providence Hospital and Medical Centers-Southfield (Michigan)",""
"Robert S Robertson","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Sima Salahie","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","Arabic English French","Adults Geriatrics","St John Hospital & Medical Center",""
"Olufunke M Adeyemo","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Yoruba","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Ali H Jaber","Family Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Mary Mercy Hospital",""
"John S Zazaian","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Armenian English","Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Uzair A Munshey","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Western Michigan University Homer Stryker MD School of Medicine",""
"Mouhamad F Rihawi","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Michael A Samluk","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Haseeb A Khawaja","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Urdu","Adults Geriatrics","MSU Kalamazoo Center for Medical Studies",""
"Katherine S Schafer","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sara Ali","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English Urdu","Adults Geriatrics","Ascension Providence Hospital",""
"Sudha R. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Gujarati Hindi","Adults Geriatrics","Polyclinic Hospital, Ohio",""
"Mahmoud M Al-Shami","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","University of Nebraska Medical Center College of Medicine",""
"Anthony J Agrusa","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Tamara B Schmidt","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Zehra A Rasheed","Pediatrics","Beaumont Hospital, Troy","","Female","English Punjabi Urdu","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"David E Pawlowski","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Bassam D Matti","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Nashwa Khogali-Jakary","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Authority Health",""
"Rodrigo Tobar","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Providence Hospital and Medical Centers-Southfield (Michigan)",""
"Anthony L Cacco","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Wayne State University",""
"John J Byrne","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Jay W Eastman","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Barry Braver","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Des Moines University Medicine and Health Sciences",""
"Leanne M Swiderski","Family Medicine","Beaumont Hospital, Wayne","","Female","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Fadi Salloum","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","Arabic English","Adults Geriatrics","Wayne State University (DMC)",""
"Renee Y Paye","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Detroit Medical Center",""
"Lisa B Elconin","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Northwestern University",""
"Harold M. Friedman","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Martin Place Hospital (Oakland General Hospital)",""
"Colleen Hartwig","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Preeti Thabolingam","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Hurley Medical Center",""
"Jeffrey M Klein","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","University of Michigan Hospitals & Health Centers",""
"Samyuktha R Madishetty","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Hindi Telugu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Dudley Roberts","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Henry Ford Hospital - Detroit",""
"Ganka A Spassova","Family Medicine","Beaumont Hospital, Dearborn","","Female","Bulgarian English Russian","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne",""
"Kelsey A Slete","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Manish N Kesliker","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Racheed Atassi","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Teenagers Adults Geriatrics","Finch University of Health Sciences/Chicago Medical",""
"Kathleen M Hannon","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"David R Weidendorf","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English German","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"John Quiamas","Family Medicine","Beaumont Hospital, Wayne","","Male","English Ilocano Tagalog","Newborns Pediatrics Teenagers Adults Geriatrics","Western University of Health Sciences",""
"David C Dziobak","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Yevhen Drobot","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English Ukrainian","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Salman Y Khan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi Urdu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Thomas M Pinson","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Hospital",""
"Chadi Almhana","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Remi O Soile","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University / Detroit Medical Center",""
"Dionisia A Sy","Pediatrics","Beaumont Hospital, Dearborn","","Female","Chinese - Mandarin English Tagalog","Newborns Pediatrics Teenagers","Grace Hospital",""
"Bradley H Sabin","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Northwestern University The Feinberg School of Medicine",""
"Syed Sadiq M Jafri","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Todd M Hachigian","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Nicole M Beliveau","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Edward I Nazareno","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Johns Hospital & Medical Center",""
"Brian T Gietzen","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Fozia N Saleem-Rasheed","Neonatology","Beaumont Hospital, Royal Oak","","Female","English Hindi Urdu","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Raida A Alazem","Internal Medicine","Beaumont Hospital, Dearborn","","Female","Arabic English","Adults Geriatrics","Bon Secours Cottage Hospital",""
"Audrey M Sim","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Lucia A Kemennu","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Colleen L Miele","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Loren C Chudler","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St Lawrence Hospital (Michigan)",""
"Stephen P D'Addario","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University",""
"Sarveswararao Talla","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers","Mount Carmel Mercy Hospital/Sinai-Grace Hospital",""
"Batoul S Dagher","Internal Medicine","Beaumont Hospital, Dearborn","","Female","Arabic English","Adults Geriatrics","DMC Huron Valley -Sinai Hospital",""
"Brian D Titesworth","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Deborah S Lambrecht","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Nada S Beydoun","Internal Medicine","Beaumont Hospital, Dearborn","","Female","Arabic English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Jeffery S Meyers","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Mercy Hospital Chicago",""
"Nahid D Elyas","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Ascension Providence Hospital",""
"Mohmmed Y Al-Shihabi","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","Muhlenberg Regional Medical Center",""
"Sami K Abu Farha","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","Providence Hospital and Medical Center",""
"Wahed Ishaqsei","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English Farsi French German Pashto","Adults Geriatrics","Sinai Hospital of Detroit",""
"Muhammad Al-Ado","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Medical College Hospital of Ohio-Toledo",""
"Stephen P D'Addario","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University",""
"Craig D Mueller","Pediatrics","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Robert S. Levy","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Bellevue Medical Center",""
"Colleen L Miele","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Audrey M Sim","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Evelyn P Laskowski","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","University of Michigan Hospitals and Health Centers",""
"Nathan Bining","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","Chinese - Mandarin English","Adults Geriatrics","Michigan State University (East Lansing)",""
"Edward I Nazareno","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Johns Hospital & Medical Center",""
"Lourin N Chahin","Internal Medicine","Beaumont Hospital, Troy","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Amir Sankari","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","St Joseph Mercy Oakland",""
"John F Tu","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","Chinese - Mandarin English","Adults","Massachusetts General Hospital",""
"Patricia C Nester","Family Medicine","Beaumont Hospital, Dearborn","","Female","English German","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Joyanta K Saha","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Avikshitha Sudhakara","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Stacy K Richards","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Rabia Bangash","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Pashto Urdu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Azmathullah Khan","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Mark Rosenberg","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Oakland Hospital",""
"Victor I Corondan","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English Romanian","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Brian J Kolender","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Remi O Soile","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University / Detroit Medical Center",""
"Bradley H Sabin","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Northwestern University The Feinberg School of Medicine",""
"Basem Almasri","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","Arabic English French","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Lana Kawa","Internal Medicine","Beaumont Hospital, Troy","","Female","Arabic English French","Adults Geriatrics","St Joseph Mercy Oakland",""
"Joyce McDonald","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bicounty Community Hospital",""
"Nashat B Imran","Internal Medicine","Beaumont Hospital, Trenton","","Male","Arabic English","Adults Geriatrics","Baylor College of Medicine",""
"Ronald Y Barnett","Geriatric Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Detroit Osteopathic Hospital & Bi-County Community Hospital",""
"Antonino G Colombo","Family Medicine","Beaumont Hospital, Troy","","Male","English Hungarian Italian","Pediatrics Teenagers Adults Geriatrics","MidMichigan Medical Center",""
"Derrick A Williamson","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan Osteopathic Medical Center",""
"Toby R Kellk Hamann","Family Medicine","","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Nova Southeastern University",""
"Lorette N Haddad","Pediatrics","Beaumont Hospital, Dearborn","","Female","Arabic English Spanish","Newborns Pediatrics Teenagers","Wayne State University/Detroit Medical Center",""
"Somil A Gupta","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English German Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Methodist Hospital-OhioHealth",""
"Stacey Kastl","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults","Beaumont Hospital, Troy",""
"Andrea C Hernandez-Troya","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Italian Spanish","Pediatrics","Beaumont Hospital, Royal Oak",""
"Brenden R Bisson","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Marshfield Clinic",""
"Shawn P Syron","Family Medicine","Beaumont Hospital, Troy","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Jane P Kramar","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Paul Ehrmann","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Detroit Osteopathic Hospital",""
"Angela D Hamlin","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Genesys Regional Medical Center-St Joseph Campus",""
"Michelle L Biddinger","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Allison Lynn Ball","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers","McGaw Medical Center of Northwestern University",""
"Carol Fredal Abiragi","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Pediatrics Teenagers Adults","University of Michigan Hospitals & Health Centers",""
"Amy E Youn","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Grand Rapids Medical Educational and Research Center/MSU",""
"Leo R Toomajian","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","MetroHealth Medical Center",""
"Olufunke M Adeyemo","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Yoruba","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Andrea E Wudyka","Family Medicine","Beaumont Hospital, Troy","","Female","English Spanish","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Caroline R Meldrum","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Susanna Pinelis","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English Russian","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Ali H Jaber","Family Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Mary Mercy Hospital",""
"John S Zazaian","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Armenian English","Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Ali H Jaber","Family Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Mary Mercy Hospital",""
"John S Zazaian","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Armenian English","Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Basma M Abu-Ashour","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","University of Toledo - College of Medicine & Life Sciences",""
"Celia Sroka","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Pediatrics","Beaumont Hospital, Royal Oak",""
"Uzair A Munshey","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Western Michigan University Homer Stryker MD School of Medicine",""
"Mouhamad F Rihawi","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Rimma Polevoy","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Russian","Adults Geriatrics","Henry Ford Hospital","4.9 out of 5"
"Sharon K Geimer","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Katherine S Schafer","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sara Ali","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English Urdu","Adults Geriatrics","Ascension Providence Hospital",""
"Amir Sankari","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Richard M Stober","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Sinai Grace Hospital",""
"Zoy Patouhas","Pediatrics","Beaumont Hospital, Troy","","Female","English French Greek","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Falgun C Patel","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Spanish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Aaron P Yon","Family Medicine","Beaumont Hospital, Troy","","Male","English","Pediatrics Teenagers Adults Geriatrics","Crittenton Hospital",""
"Mary E Smyth","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Steven J Feldman","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Sinai Hospital of Detroit",""
"Nicolas A Marsheh","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","Damascus University School of Medicine - Syria",""
"LoriAnn Washe","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"AnneMarie Poleck","Family Medicine","Beaumont Hospital, Farmington Hills","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"William J Chung","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English Korean","Pediatrics","Washington Hospital Center",""
"Brian M Renard","Cardiology","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Jennifer B Driker","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English French","Adults Geriatrics","Northwestern Memorial Hospital",""
"Roger Abiragi","Pediatrics","Beaumont Hospital, Grosse Pointe","","Male","English","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Daoud A Faraj","Family Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital/Michigan State University",""
"David W Peters","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Jamie C Baines","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan State University College of Osteopathic Medicine",""
"Alexandra I Halalau","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English French Romanian","Adults","Beaumont Hospital, Royal Oak","4.8 out of 5"
"Vikas V Bhimani","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English Gujarati Hindi Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Sinai Grace Hospital",""
"Rachel C Rogers","Internal Medicine","Beaumont Hospital, Trenton","","Female","English","Adults Geriatrics","Beaumont Hospital, Trenton",""
"Raied M Hanna","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","St Joseph Mercy Oakland",""
"F Vincent Mitek","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Issa T Haddad","Pediatrics","Beaumont Hospital, Dearborn","","Male","Arabic English","Pediatrics Teenagers","Henry Ford Hospital",""
"Ayesha M Taj","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Urdu","Newborns Pediatrics Teenagers","Michigan State University/Sparrow Hospital",""
"Rudyard L Dimson","Internal Medicine","Beaumont Hospital, Troy","","Male","English Filipino","Adults Geriatrics","St Joseph Mercy Oakland",""
"Aleksandar Cvetkovic","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Dominic A Atiyeh","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Grosse Pointe",""
"Corey J Haber","Family Medicine","Beaumont Hospital, Troy","","Male","English","Pediatrics Teenagers Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Joseph A Skoney","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Katherine H Erlich","Pediatrics","Beaumont Hospital, Farmington Hills","","Female","English","Pediatrics","William Beaumont Children's Hospital (Michigan)",""
"Susan Beth Tam","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Alan N Bunney","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Japanese","Adults Geriatrics","University of Miami, Holy Cross Hospital",""
"Margaret Eckel","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Dilip Khanal","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Hindi","Adults","Beaumont Hospital, Royal Oak",""
"Rose Ibrahim","Family Medicine","Beaumont Hospital, Taylor","","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Joseph Mercy - Oakland",""
